3507 2
2853 -0.0194757 -0.527367
311 0.381689 -1.1288
1367 0.0278481 -1.22313
1682 -0.103265 -0.675425
779 -0.0689566 -0.834313
748 0.210603 -2.44427
1955 0.130366 -0.437114
543 0.378896 -1.78708
1245 0.0811279 -0.605978
2146 -0.100443 -0.589373
278 0.665391 -2.41219
482 0.180342 -0.975365
526 0.330789 -1.19572
1781 0.154434 -0.571983
284 0.743995 -2.66575
2460 0.0614872 -0.410077
1373 0.268756 -1.96018
600 0.0434277 -0.708912
977 -0.104423 -0.815605
2935 0.0237728 -0.481987
1020 0.249602 -0.42018
43 0.54026 -2.39055
3071 0.062666 -0.431418
2535 0.0513655 -0.742935
2536 0.354491 -0.659338
1903 0.046692 -0.296605
36 0.236329 -1.347
1909 0.281324 -0.194482
2676 0.184363 -0.397447
1491 0.490744 -2.48713
378 0.110128 -1.16025
2090 0.287446 -0.485975
1949 0.277816 -0.977338
1553 0.249878 -0.982439
1609 0.117891 -1.36118
79 0.293061 -1.54425
1837 0.286742 -0.492905
1642 -0.0449152 -0.843908
717 -0.0761327 -0.644215
217 0.320414 -0.445548
218 0.0982263 -0.794895
855 0.0398684 -0.697613
1733 0.667867 -2.32549
2828 0.489822 -2.57056
3281 -0.160703 -0.373452
958 0.232774 -1.39549
3176 -0.0593081 -0.541195
2641 0.0537943 -0.275287
343 0.38594 -2.58817
2612 0.220331 -0.16585
2483 0.376507 -0.482637
116 0.399928 -2.87868
2485 0.330252 -0.17706
2166 -0.0235998 -0.576745
453 0.149686 -1.50614
1001 0.18063 -0.637852
1763 0.320537 -0.485077
209 -0.0706992 -0.655918
1574 0.11243 -0.776651
1363 -0.0180859 -1.11036
3096 0.366112 -0.621935
724 0.148663 -1.66166
182 0.0612848 -1.106
2614 -0.146718 -0.279095
1996 0.126946 -0.605356
2702 -0.00890587 -0.77358
1876 0.0442654 -1.2267
2701 0.226117 -0.87194
178 0.510072 -1.24591
54 0.258146 -0.57634
53 0.413779 -1.05883
1233 0.0619981 -0.763309
