Gene A	Gene B	Score	Category
P00401	P32264		SL
P00401	P32614		SL
P00401	P33421		SL
P00401	P28272		SL
P00401	P09368		SL
P00401	Q06143		SL
P00401	P54885		SL
P00401	P08417		SL
P10591	P22202		SL
P10591	P10592		SL
P10591	P10592		SL
P10591	P10592		SL
P10591	P53378		SL
P18410	P38116		SL
P18410	P11076		SL
P18410	P38959		SL
P18410	P39904		SL
P18410	P53173		SL
P18410	P41544		SL
P18410	P34110		SL
P18410	P40395		SL
P18410	Q99260		SL
P18410	Q04632		SL
P18410	P52593		SL
P18410	P53959		SL
P18410	Q02804		SL
P18409	P40961		SL
P18409	P50085		SL
P31376	P38123		SL
P31376	Q07457		SL
P31376	Q03323		SL
P31376	P39995		SL
P31376	P06104		SL
P31376	P40957		SL
P31376	P53064		SL
P31376	P41695		SL
P31376	P38877		SL
P31376	P40958		SL
P31376	P43132		SL
P31376	Q06697		SL
P31376	P26448		SL
P31376	P40969		SL
P31376	P53911		SL
P31376	P26449		SL
P31376	P38439		SL
P31376	P40987		SL
P31376	Q02796		SL
P31376	Q03012		SL
P31376	P46670		SL
P31385	P38262		SL
P31385	P25357		SL
P31385	Q07471		SL
P31385	Q05471		SL
P31385	P06844		SL
P31385	Q03388		SL
P31385	P40013		SL
P31385	P40084		SL
P31385	P38633		SL
P31385	P53096		SL
P31385	P41806		SL
P31385	P53299		SL
P31385	P42935		SL
P31385	P34162		SL
P31385	P38784		SL
P31385	P38699		SL
P31385	P38886		SL
P31385	Q12509		SL
P31385	Q12150		SL
P31385	Q06706		SL
P31385	Q06697		SL
P31385	Q03433		SL
P31385	Q04705		SL
P31385	P50110		SL
P31385	Q04868		SL
P31385	P40154		SL
P31385	P48562		SL
P31385	Q12692		SL
P31385	Q02908		SL
P31385	Q02884		SL
P31385	P33420		SL
P31378	P28519		SL
P31378	Q08214		SL
P31378	Q08214		SL
P31378	P06777		SL
P31383	P40454		SL
P31383	Q12461		SL
P31384	P13365		SL
P31384	P11633		SL
P31384	P38111		SL
P31384	P25644		SL
P31384	P25655		SL
P31384	P25655		SL
P31384	P12945		SL
P31384	P04050		SL
P31384	P39517		SL
P31384	P17629		SL
P31384	P24276		SL
P31384	P32609		SL
P31384	Q06337		SL
P31384	P33301		SL
P31384	Q06406		SL
P31384	P39743		SL
P31384	P06844		SL
P31384	Q04087		SL
P31384	P39904		SL
P31384	P40002		SL
P31384	P40013		SL
P31384	P34909		SL
P31384	P34909		SL
P31384	P21524		SL
P31384	P25302		SL
P31384	P07273		SL
P31384	P06104		SL
P31384	P38633		SL
P31384	P32558		SL
P31384	P32585		SL
P31384	P49723		SL
P31384	P46677		SL
P31384	P07347		SL
P31384	P34162		SL
P31384	O13539		SL
P31384	P38699		SL
P31384	P40567		SL
P31384	P47061		SL
P31384	P47017		SL
P31384	P47006		SL
P31384	P39531		SL
P31384	Q03957		SL
P31384	P36041		SL
P31384	P32368		SL
P31384	P21576		SL
P31384	P38634		SL
P31384	P09959		SL
P31384	P51862		SL
P31384	P51862		SL
P31384	P20795		SL
P31384	Q06696		SL
P31384	P06778		SL
P31384	Q01649		SL
P31384	P20437		SL
P31384	P32352		SL
P31384	P32829		SL
P31384	P39013		SL
P31384	P48232		SL
P31384	P53905		SL
P31384	P12753		SL
P31384	P48563		SL
P31384	P19659		SL
P31384	P08518		SL
P31384	Q12483		SL
P31384	P48582		SL
P31384	P48527		SL
P31384	P20438		SL
P31384	P11632		SL
P31384	Q12514		SL
P31384	Q12514		SL
P31384	P17119		SL
P31382	P54867		SL
P07866	P31385		SL
P07866	P11433		SL
P07866	P34223		SL
P07866	P29366		SL
P07866	P25559		SL
P07866	Q07532		SL
P07866	P46674		SL
P07866	P39001		SL
P07866	P46676		SL
P07866	Q01560		SL
P07866	Q04431		SL
P07866	P40013		SL
P07866	P40047		SL
P07866	P53165		SL
P07866	Q03018		SL
P07866	P49723		SL
P07866	Q03497		SL
P07866	Q03497		SL
P07866	Q03497		SL
P07866	Q03497		SL
P07866	P34162		SL
P07866	P17123		SL
P07866	P17123		SL
P07866	P17123		SL
P07866	P38699		SL
P07866	P38877		SL
P07866	P38886		SL
P07866	P40505		SL
P07866	P06105		SL
P07866	P47113		SL
P07866	P46973		SL
P07866	P47123		SL
P07866	P36105		SL
P07866	P33550		SL
P07866	P23542		SL
P07866	P38915		SL
P07866	Q12107		SL
P07866	P19073		SL
P07866	P13099		SL
P07866	Q06164		SL
P07866	Q06488		SL
P07866	Q05933		SL
P07866	Q06685		SL
P07866	Q03705		SL
P07866	P49956		SL
P07866	P32567		SL
P07866	P35209		SL
P07866	Q01649		SL
P07866	P16862		SL
P07866	P38429		SL
P07866	P25491		SL
P07866	P50947		SL
P07866	Q01722		SL
P07866	P48565		SL
P07866	P32561		SL
P07866	P22579		SL
P07866	Q08496		SL
P07866	Q08581		SL
P07866	Q08581		SL
P07866	Q08581		SL
P07866	P39683		SL
P07866	P32266		SL
P07866	Q08747		SL
P07866	Q08773		SL
P07866	P48582		SL
P07866	P39011		SL
P07866	Q06892		SL
P07866	Q01454		SL
P39524	P32790		SL
P39524	Q06336		SL
P39524	P38555		SL
P39524	P22137		SL
P39524	P32893		SL
P39524	P38817		SL
P39524	P32521		SL
P39524	P32521		SL
P39524	P25087		SL
P39524	Q99394		SL
P39735	P38207		SL
P39735	P22936		SL
P31109	P32602		SL
P31109	P22137		SL
P31109	P40357		SL
P31109	P40357		SL
P31109	P21576		SL
P31109	P22543		SL
P31109	P39926		SL
P31109	P32854		SL
P31109	Q12241		SL
P31109	P33328		SL
P31109	P33328		SL
P28004	P38302		SL
P28004	Q02775		SL
P28004	P40968		SL
P28004	Q04048		SL
P28004	P24384		SL
P28004	P33411		SL
P28004	Q12309		SL
P28004	Q03654		SL
P39731	P47149		SL
P00549	P32327		SL
P00549	P52489		SL
P06182	P27882		SL
P13365	P25302		SL
P13365	P33306		SL
P13365	P33306		SL
P13365	P33306		SL
P13365	P33306		SL
P13365	P11972		SL
P13365	P20437		SL
P13365	P20437		SL
P13365	P17157		SL
P11433	P29366		SL
P11433	P53064		SL
