531 2
27 -0.470786 0.881039
28 -0.366953 0.708458
410 -0.27932 0.811071
87 -0.483781 0.569586
86 -0.605661 1.01346
255 -0.290916 0.456422
191 -0.709372 1.02865
254 -0.583973 0.48788
328 -0.306198 0.280619
151 -1.47651 3.13173
357 0.0477469 0.452719
302 -0.590555 0.488402
301 -0.305933 0.732516
232 -0.39888 0.601275
125 -0.374663 1.05385
124 -0.372457 0.560614
29 -0.342537 0.66957
30 -0.723075 1.00278
405 -0.530065 0.871412
316 -0.0442432 0.533311
315 -0.86216 1.42462
120 -0.404966 0.669093
514 -0.394389 0.342261
510 -1.1038 1.83601
397 -0.596738 0.660051
63 -0.595413 1.16159
73 -0.678822 1.00682
72 -0.443765 0.354693
520 0.00116533 0.496759
77 -0.685074 1.12052
382 -0.367647 0.453715
7 -0.73168 0.946019
9 -0.337218 0.746979
386 -0.19551 0.42757
276 -0.500767 1.05216
275 -0.173225 0.477953
148 -0.187361 0.630782
149 -0.16433 0.592035
437 -0.183598 0.459031
433 -0.810447 1.40352
435 -0.163754 0.545751
439 -0.146646 0.34899
438 -0.334654 0.578802
482 -0.103954 0.550152
114 -0.753469 1.3839
204 -0.442558 0.623246
39 -0.104472 0.719583
11 -0.417799 1.04363
127 -0.50056 0.741378
225 -0.175007 0.97181
57 -0.355232 0.318921
13 -0.498579 1.00969
323 -0.614341 1.47464
332 -0.277939 0.321236
337 0.0390904 0.53711
194 -0.262443 0.392165
10 -0.790978 1.54015
91 -0.422886 0.884149
363 -0.377056 0.209515
335 -0.082455 0.435417
109 -0.450991 0.911463
170 -0.662038 1.2836
40 -0.278682 0.812479
205 -0.410472 0.670461
206 -0.509714 0.597705
209 -0.396002 0.74259
388 -0.109743 0.771195
387 -0.160811 0.970724
107 -0.547997 0.862401
522 -0.489813 0.495266
19 -0.292185 0.81232
141 -0.316728 0.801743
223 -0.26588 0.390471
35 -0.227265 0.957093
303 -0.255554 0.730641
517 -0.040862 0.334225
519 -0.129802 0.428499
199 -0.0142571 0.731649
177 -0.304822 0.761328
117 -0.337114 0.520366
118 -0.367805 0.911754
264 -0.348614 0.734634
456 -0.595739 0.656644
406 -0.324898 0.903133
156 -0.506388 0.499611
380 -0.100861 0.620038
167 -0.492455 0.833425
166 -0.153995 0.836866
471 0.0209121 0.564552
95 -0.358165 1.1215
308 -0.271312 0.513514
122 -0.497091 0.811004
123 -0.222468 0.829947
330 -0.401582 0.297314
333 -0.460549 0.35725
496 -0.312573 0.871946
497 -0.295528 0.870452
82 -0.403036 1.00153
309 -0.57111 0.639938
38 -0.575333 0.516587
197 -0.362924 1.02563
135 -0.260725 0.70222
261 -0.151264 0.606288
256 -0.715058 1.26726
464 -0.0838631 0.71734
58 -0.776744 1.43316
365 -0.401924 0.703797
313 -0.385541 1.10917
381 -0.656118 0.716793
89 -0.591884 0.688665
46 -0.400172 0.670882
94 -0.559075 0.783173
411 -0.190804 0.535751
393 -0.371597 1.10571
340 -0.0211241 0.465801
277 -0.351223 1.18007
263 -0.564232 1.03625
455 -0.376519 0.664998
59 -0.510021 0.617035
116 -0.455899 1.02256
115 -0.194269 0.739119
461 -0.384101 0.392819
526 -0.560086 0.54437
525 -0.423945 0.657592
353 -0.432328 0.324551
356 0.0665031 0.488423
99 -0.245545 1.10497
97 -0.334117 0.525995
195 -0.616801 0.812675
196 -0.406389 0.986779
450 -0.623415 0.647621
449 -0.427806 0.854864
41 -0.43681 0.76809
68 -0.139762 0.963209
22 -0.814299 1.40389
480 -0.0628956 0.351991
372 -0.00268158 0.282016
516 -0.0450393 0.44897
312 -0.108622 0.443432
21 -0.345382 0.251631
342 -0.0616767 0.485086
142 -0.0362446 0.588356
395 -0.377266 0.686151
492 -0.200983 0.874435
491 -0.272752 0.879986
352 -0.217232 0.364717
488 -0.305366 0.832111
102 -0.49394 0.689555
103 -0.105041 0.787322
202 -0.334506 0.68813
