661 2
406 -0.0666516 0.653831
552 0.0685568 0.388922
652 0.00782992 0.277057
178 -0.154722 0.176172
443 -0.0415203 0.421156
232 -0.190399 -0.0839045
589 0.232165 0.3899
61 0.0487347 0.485715
223 0.137693 0.0016663
537 0.0641467 0.48814
320 -0.150844 0.513673
485 -0.05121 0.108907
79 -0.134527 0.516324
94 0.108225 0.534161
180 -0.0713906 0.461308
267 -0.0774519 0.0637768
213 0.127059 0.502393
462 -0.199526 0.161167
124 -0.165075 0.136313
632 -0.238338 0.471167
505 0.178339 0.453463
439 0.101771 0.210942
285 -0.117843 0.412112
265 -0.191993 0.377751
356 -0.0420283 0.174085
398 0.0732223 -0.0451094
80 0.0911411 0.321086
262 -0.219645 0.101918
313 -0.241218 0.0874281
308 0.000306548 0.359865
259 -0.091442 0.457614
119 -0.0769953 0.0469344
145 -0.178831 0.454489
326 0.0519505 0.321269
376 0.10727 0.20578
337 0.0642104 0.212737
99 -0.0638261 0.429722
205 -0.00506433 0.277152
230 0.120575 0.336415
297 0.191679 0.231466
241 -0.260575 0.170006
340 -0.201389 0.607945
164 0.230504 0.242218
316 -0.195133 0.321567
236 -0.146623 0.289621
454 0.0698534 0.447733
189 0.167074 0.426405
82 0.0409694 0.237959
351 -0.16175 0.224988
183 0.00387897 0.456152
143 -0.123958 0.746361
210 -0.0393166 0.19602
329 0.173895 0.177994
196 0.226312 0.428629
556 -0.00785965 0.405617
558 -0.200123 0.491064
578 -0.0723508 0.148983
594 -0.20239 0.312112
608 -0.170019 0.481552
403 -0.208865 0.48244
204 0.204975 0.0876463
617 -0.20469 0.302343
352 -0.243657 0.393738
659 -0.017604 0.392691
238 0.159127 0.416292
90 -0.181457 0.557399
602 -0.134913 0.252241
123 0.170898 0.327019
153 -0.207688 0.679879
380 -0.136671 0.325711
54 0.105898 0.0847095
95 -0.254755 0.0190859
245 0.148973 0.63821
234 -0.12797 -0.00772271
141 0.0749756 0.464703
417 -0.118384 0.50524
426 -0.179228 0.229944
624 -0.218548 0.12138
516 0.0120064 0.0982311
545 -0.225045 -0.0168677
646 0.0565617 0.0985355
185 -0.0302457 0.309861
434 -0.0850582 0.284398
68 -0.1689 0.429815
346 -0.025983 0.418697
520 0.0690136 0.100767
471 -0.0632461 0.340083
616 0.0777668 0.491148
200 0.0977783 0.297423
169 0.035124 0.287481
651 0.0653914 0.260578
198 -0.227643 0.697466
339 -0.0151838 0.164285
110 -0.0418433 0.237206
460 -0.251724 0.230336
50 0.12975 0.246499
369 0.0176385 0.0937576
473 -0.0166489 0.324292
368 0.219358 0.238359
182 0.0936199 -0.0181262
190 0.0801317 0.622495
424 -0.0567261 0.293679
42 0.077919 0.178555
298 0.0723435 0.254578
639 -0.226359 0.148913
622 0.0186458 0.444454
235 0.0697733 0.483085
653 0.0560638 0.432052
293 -0.178209 0.139332
341 -0.0478245 0.439751
69 -0.228016 0.286043
627 0.00394932 0.117646
502 -0.140951 0.490494
638 -0.0202992 0.261532
555 0.0743262 0.490698
631 -0.114009 0.0994985
553 0.0942926 0.369326
649 0.242761 0.110064
229 0.174855 0.720348
492 0.095086 0.451255
422 -0.0157116 0.388348
136 -0.0730874 0.346873
263 -0.0223227 0.00703879
393 0.17854 0.473105
391 -0.170248 0.55494
305 -0.0647862 0.104015
442 0.104066 0.506732
177 -0.19883 0.380011
447 0.183662 0.519364
252 -0.109602 0.354629
610 0.0236987 0.422743
431 -0.236933 0.236275
430 0.119281 0.0862294
31 -0.220901 0.620396
542 0.194982 0.445285
104 0.184943 0.397235
384 -0.229286 0.120274
409 -0.0764391 0.130893
21 0.106087 0.41054
450 -0.0156126 0.242745
288 0.0656944 0.263418
621 -0.212512 0.286041
35 0.22844 0.548713
301 0.15442 0.510785
449 -0.210974 0.219342
611 0.119169 0.300065
343 0.132838 0.416569
527 -0.150455 0.16961
212 -0.10144 0.532347
266 -0.0130975 0.246188
363 0.111243 0.201572
121 0.177651 0.358316
166 -0.227481 0.482095
574 0.0634142 0.274208
257 0.223916 0.335666
495 -0.118979 0.231535
172 0.242958 0.504554
97 0.0661725 0.607978
197 0.0856428 0.505351
162 -0.162495 0.359267
147 -0.143612 0.238663
14 0.0160119 0.265949
350 0.0337642 0.076315
370 0.146729 0.182367
416 0.187521 0.336426
636 -0.199706 0.196639
475 -0.110156 0.453016
604 -0.211388 0.0637104
523 0.222973 0.230087
307 0.0355771 0.282393
342 0.126702 0.334884
279 0.250893 0.443632
321 0.221613 0.226694
