4431 2
4074 -0.048929 -0.0579769
4073 0.193083 0.0660848
698 -0.19435 -0.132989
832 0.12942 -0.026769
919 -0.0568096 -0.0353561
4216 -0.0131831 0.256417
4215 0.107039 0.0119125
3671 0.11806 0.0990705
3670 -0.147373 0.12361
1501 0.207954 0.167154
1500 -0.0316671 0.00272055
358 -0.241706 0.222286
216 -0.184978 0.24331
8 0.158109 0.168973
2725 0.0730246 -0.216039
2724 0.0471697 0.0666523
1986 -0.187769 0.0287397
1987 0.150252 -0.0414795
4270 0.141004 -0.220703
4269 0.0896518 -0.241836
2687 0.11917 0.0435067
2686 0.14028 0.0566458
3131 -0.0574596 0.224014
3130 0.210765 -0.0592714
1238 -0.228408 0.226934
1239 0.0447928 -0.213106
1405 -0.110364 -0.0337437
1406 0.0944246 0.142715
2268 -0.136954 0.0218245
2267 -0.0316506 0.205499
1071 0.247376 0.0687181
960 -0.039997 0.0400149
867 0.22669 0.183993
3711 -0.262038 0.071284
3712 0.0328916 -0.0107281
2639 -0.183448 0.248378
2640 0.196988 -0.138651
951 -0.00906996 -0.164202
1090 0.143975 0.200322
1151 0.0742195 0.161802
3182 0.152346 0.127406
3183 0.195428 -0.0890031
2468 0.230692 0.213049
2469 0.0194947 -0.176184
953 0.168317 0.095137
761 -0.0289979 0.151112
1089 0.0232602 0.225941
1326 0.0896851 0.149227
1327 0.0971681 -0.122522
2922 -0.0170542 0.242582
2921 0.162097 -0.03772
3983 0.155914 -0.156294
3982 -0.0954536 0.168658
1484 -0.116008 -0.0978395
220 0.204948 0.159436
368 0.188809 -0.225462
3592 0.0671893 -0.11876
3593 0.0265937 -0.0794122
1 0.154723 -0.14308
135 0.165709 0.215537
45 -0.170238 -0.065409
3177 -0.0701951 -0.188904
3178 -0.13257 -0.203258
2482 0.219046 -0.196244
2481 -0.102257 -0.139554
4378 -0.21818 -0.184072
4377 0.237829 -0.114429
2204 -0.138052 0.172825
2205 -0.230184 -0.177208
2770 -0.127256 -0.168011
2769 -0.0237861 -0.0726559
4058 0.136056 0.0110057
4059 -0.0846899 0.161245
1051 0.0837512 -0.217886
1080 -0.113028 -0.180964
1108 -0.199999 -0.206865
2487 0.230937 0.053597
2488 0.185176 -0.248673
2636 0.0931052 -0.153703
2635 -0.129001 0.0367477
538 0.147509 -0.0496915
465 0.224772 0.0126874
522 0.121557 -0.120612
1475 0.0792691 0.149933
1474 0.191573 -0.167961
2908 0.254703 0.160368
2907 0.224014 0.0245282
4151 0.127895 -0.115442
4150 0.221572 0.0371778
292 -0.0341849 0.18974
425 -0.174713 0.238064
285 -0.231392 0.120429
2033 0.0423408 -0.00492443
2034 -0.112067 -0.0989871
293 0.0195012 -0.140588
300 0.0205387 -0.196168
445 0.195571 -0.125251
1731 -0.17447 -0.112895
1732 0.163478 0.230186
739 0.102348 -0.141681
1162 -0.217732 -0.219346
1025 0.161385 0.203558
3933 -0.235187 -0.241937
3934 -0.125801 0.00340818
2975 -0.0665514 0.180203
2974 0.0816774 0.230761
1504 0.161 0.242341
1505 0.206011 0.241972
1332 -0.166507 -0.0931574
1333 -0.0196243 0.0112235
257 0.128787 0.127297
297 -0.00126146 0.129162
376 -0.0201926 0.195009
4392 0.0569832 -0.206695
4393 0.173275 0.145875
2662 0.155318 0.146818
2663 0.104248 -0.209488
4354 0.173049 0.235071
4353 0.0953656 -0.0789181
2492 -0.116271 0.0272754
2493 -0.157089 -0.0838971
3295 -0.157727 0.0500867
3296 0.0123658 0.250987
2794 0.00882034 -0.043087
2793 -0.00219338 -0.0272464
2592 0.127927 -0.0889563
2593 0.110229 0.186695
491 -0.172469 -0.096076
426 -0.14372 -0.229086
548 -0.175038 -0.156965
2878 0.115127 0.158227
2877 -0.0134757 -0.153494
4240 -0.100969 -0.154178
4241 -0.00890171 0.02789
855 0.148334 0.236953
1109 0.0725011 0.0986939
912 0.0301591 0.2396
2895 -0.185042 -0.0218394
869 -0.195295 0.139494
670 -0.0106285 0.0563443
1105 -0.0895436 0.0725739
1167 0.179621 0.173962
986 -0.161521 0.0324183
1164 -0.193347 0.20236
802 0.0892091 -0.0865766
863 0.00826552 -0.242806
925 0.131319 -0.011819
712 -0.169622 0.116919
1194 0.0225726 -0.139952
1388 -0.20733 0.221284
1389 -0.0356496 0.0853879
1363 0.191047 0.134062
1364 0.25161 -0.217308
972 -0.211835 0.1456
837 0.119087 0.134614
1033 0.0785091 0.186015
2192 -0.061033 0.229027
2193 -0.190021 -0.135066
1350 0.199234 0.0478702
1349 0.0487863 0.225788
3740 -0.144904 0.0455225
3741 -0.137383 -0.130789
3069 -0.0252236 0.136997
3068 0.0239682 0.0542527
2665 -0.0443756 0.0908265
2664 0.195629 -0.0562967
1018 0.192687 0.185341
744 -0.0722815 0.0571957
840 0.166941 0.19335
478 0.0852045 0.0645646
