1982 2
263 -0.783643 -0.403165
669 -0.823419 -0.419039
1102 -1.36693 -0.328178
1712 -0.48996 -0.265639
223 -3.33208 -1.30524
1494 -0.702523 -0.0430476
15 -0.515924 -0.382101
2 -1.29276 -0.770389
16 -0.385463 -0.0432923
121 -0.920062 -0.579577
1312 -0.501916 -0.192485
1354 -1.10522 -0.660871
1490 -0.696097 -0.235004
1421 -0.786454 -0.564785
750 -0.677286 -0.365831
459 -0.237403 -0.309702
225 -2.59809 -1.47288
491 -0.342571 -0.146898
622 -0.322285 -0.247131
542 -2.26013 -1.30053
229 -0.434918 -0.390956
861 -0.360556 -0.292378
24 -3.01192 -1.64977
815 -0.222301 0.0171328
1122 -0.813067 -0.519589
1373 -0.557313 -0.515121
1371 -0.754734 -0.308953
964 -0.454083 -0.283582
886 -1.55884 -0.732319
885 -0.671412 -0.375514
503 -0.422754 -0.369381
417 -2.50624 -1.1702
822 -0.433709 -0.180855
1013 -0.977454 -0.573095
1486 -0.695776 -0.236804
467 -0.566428 -0.0543024
470 -0.281631 -0.285708
1951 -0.544082 -0.478623
517 -0.769059 -0.117665
841 -0.463151 -0.0628718
636 -0.388303 -0.141263
724 -2.35447 -1.10524
800 -0.520977 -0.0801466
155 -0.685102 -0.291312
156 -0.655541 -0.309319
113 -0.48191 -0.599971
1088 -0.625531 -0.458846
294 -0.947476 -0.256732
301 -0.836429 -0.504111
1360 -0.38394 -0.240525
985 -1.05221 -0.642628
917 -0.452649 -0.416482
1211 -0.504489 -0.319865
989 -0.733777 -0.259113
277 -0.680246 -0.569491
1010 -0.725297 -0.234129
1536 -0.7664 -0.292764
1242 -0.683314 -0.525676
1332 -0.527512 -0.320587
466 -0.409488 -0.450767
290 -0.505514 -0.194288
202 -0.828103 -0.537226
236 -0.499252 -0.461828
253 -1.3463 -0.51687
1188 -0.595085 -0.174298
63 -0.562077 -0.54169
1553 -0.179608 -0.139385
204 -1.22893 -0.434531
1554 -0.426885 -0.167584
1054 -0.459049 0.0300021
55 -2.45384 -1.2478
1079 -0.4632 -0.231565
1678 -0.397117 -0.151699
367 -1.26235 -0.592529
230 -0.430211 0.070208
199 -1.29247 -0.898369
181 -0.531125 -0.439906
168 -0.968559 -0.51509
1970 -0.899254 -0.216772
954 -0.595375 -0.0795007
773 -0.701038 -0.188558
125 -0.577724 -0.0221375
807 -0.315664 -0.280484
1524 -0.730052 -0.0315507
1526 -0.674013 -0.505265
1244 -0.418366 -0.318251
1245 -0.470282 -0.373782
328 -0.446877 -0.270397
306 -1.07147 -0.537238
111 -0.592699 -0.301908
732 -0.308259 -0.0714834
39 -1.00532 -0.774536
1128 -0.816653 -0.500085
1798 -0.413263 -0.462804
10 -0.430778 -0.348057
44 -1.01051 -0.354199
1700 -0.836123 -0.22968
1701 -0.597212 -0.572877
1083 -0.359149 0.117954
1060 -0.322936 -0.000494893
311 -0.615439 -0.37742
98 -0.829948 -0.194853
325 -0.530765 -0.174827
495 -0.188426 -0.393909
475 -0.620646 -0.405526
1305 -0.395841 -0.141759
880 -1.82412 -0.861829
923 -0.572081 -0.274289
78 -2.03886 -1.08555
925 -0.58666 -0.401964
1338 -0.318276 -0.406301
714 -1.07924 -0.221661
267 -1.35889 -0.550691
1014 -0.37398 -0.130003
59 -0.961429 -0.331478
1016 -0.592051 -0.0966202
515 -0.457108 -0.416022
513 -1.39113 -0.672693
516 -0.74598 -0.100042
1516 -0.556025 -0.121051
140 -0.704282 -0.445773
702 -0.832538 -0.126357
946 -0.590904 -0.427878
1337 -0.585382 -0.229149
1336 -0.73978 -0.152412
1294 -0.233913 -0.443514
