540 2
217 0.0151696 -0.000492097
423 -0.157996 0.0539856
275 -0.0621364 -0.106072
24 0.135892 0.187261
110 -0.138488 0.107505
197 0.0633688 -0.0781936
434 -0.145177 0.220353
201 -0.180663 0.146497
277 0.00257067 0.105442
272 0.225774 0.287549
490 0.199595 0.299532
4 0.265287 0.225336
465 -0.0935839 0.0367282
5 0.329206 -0.0890721
145 -0.193938 0.177878
398 0.306822 0.301083
265 0.19812 0.27622
360 -0.00296052 0.230215
188 0.281318 0.2416
383 0.281636 0.163193
262 0.158163 -0.0729339
207 -0.0620127 0.274582
500 0.0656119 -0.118208
380 0.133602 0.0776937
310 -0.128725 -0.140991
372 0.111652 -0.0245651
46 -0.182327 -0.08107
59 -0.0314077 0.280805
428 -0.0562106 0.262683
529 0.183937 0.227243
317 0.302926 0.0363881
340 0.121837 0.096866
165 0.0905887 -0.0644903
525 -0.0956382 -0.00103459
247 0.236757 0.256239
42 0.0690078 0.0256267
149 0.07883 -0.0270013
492 0.0268621 0.0661149
369 0.0426117 0.329701
449 0.173693 -0.101556
139 -0.077843 0.331311
422 0.196261 0.287936
129 0.00190049 -0.0350246
491 0.0488558 -0.0880152
531 0.108303 -0.133321
419 -0.0247309 0.0507578
486 0.227697 -0.0874363
414 0.205828 -0.105199
15 -0.155008 0.0324388
410 0.29789 0.266809
71 0.109375 -0.103519
376 -0.119248 0.0836425
157 0.200771 -0.00914383
278 0.0813902 0.157853
301 -0.0458577 0.222407
10 0.163038 0.0213317
178 -0.105954 0.0529763
418 -0.0636701 0.102761
267 0.135167 -0.0607234
415 0.193977 0.190352
472 0.282914 -0.0740494
47 0.228344 -0.0626037
70 0.0182557 -0.0581912
417 0.0119826 0.0173243
532 0.0624089 0.160253
284 0.209019 0.0803676
17 0.288155 0.0641249
351 -0.134592 0.309571
7 0.21266 -0.0514205
107 0.0607912 0.263352
198 0.146677 0.212762
269 0.171337 -0.172889
286 -0.159684 0.127039
270 -0.0012618 0.118886
212 0.261543 0.0736654
337 0.104686 0.0518781
448 0.161036 -0.00743326
518 0.0939002 0.213435
516 0.247292 0.27656
48 -0.125987 0.0766344
456 0.0354245 0.231662
2 0.328013 0.183612
397 0.129208 0.148444
87 0.308146 -0.0503992
350 -0.0945728 0.0547639
390 0.0729203 -0.11004
395 0.231518 0.276581
329 0.276388 0.152732
18 0.344593 -0.065088
358 -0.0416133 0.273376
322 0.168895 -0.0114862
13 0.178207 -0.180249
23 0.233093 0.146875
98 0.0718763 -0.0581411
144 0.15084 0.172263
49 -0.124889 -0.110797
169 -0.0444208 0.113993
61 -0.0699074 0.267014
234 0.123792 -0.0578289
92 -0.0338067 -0.0542359
105 0.00482179 0.310824
426 0.0496213 0.237406
235 0.298872 0.0790006
162 -0.132597 -0.0448428
67 0.0619031 0.0915739
354 0.232677 0.139949
192 -0.113153 0.309344
401 -0.0701342 0.19157
534 0.154656 0.200213
427 0.117962 0.0171361
430 0.0673545 0.120045
507 0.317156 -0.0501775
494 -0.0277054 -0.0615392
454 0.153871 0.207802
32 0.109286 0.105735
475 0.197223 0.113323
387 -0.0598861 0.184742
432 -0.0157918 -0.156542
344 0.0719976 0.280412
75 0.268182 0.351958
220 -0.0219321 0.322315
63 -0.147131 0.0246388
159 0.32984 0.25778
453 0.20405 0.151929
219 -0.0473092 0.0990299
78 -0.124498 -0.0464584
177 -0.0613446 0.266436
108 0.107158 0.193975
359 0.0805802 -0.133792
407 -0.0524759 0.0553552
79 -0.194592 -0.0949555
132 0.0858968 0.247512
385 0.131262 -0.167975
37 0.165608 -0.135714
100 0.0769377 0.141727
115 0.0818892 0.0702903
50 -0.071868 0.144801
199 -0.151632 0.222005
424 0.113282 0.0645897
436 -0.0934669 0.139822
356 0.0841385 0.0023629
374 -0.0095135 0.257021
496 -0.134415 0.33444
353 -0.010398 0.0525391
180 0.0875079 0.219748
324 0.106494 0.0677764
239 0.19287 0.106513
185 0.0168837 0.146787
282 0.232694 -0.115906
148 0.260918 0.143489
194 0.0335337 -0.0985741
206 -0.00780585 0.0401432
146 -0.10618 0.159284
151 0.119195 0.0565475
242 -0.113587 -0.0617759
442 0.0156638 0.313447
34 0.287795 -0.0689719
512 -0.14471 -0.153277
435 -0.00675759 0.237117
196 0.328743 0.30678
524 -0.0507369 0.233172
205 0.000982465 0.323031
230 0.143861 0.122999
33 0.208673 0.160447
370 0.0135771 0.0324671
477 0.118047 -0.0474112
56 0.0195333 0.321892
375 -0.115287 0.254807
44 0.265415 0.0790887
170 0.221868 0.239441
227 -0.121331 0.131351
1 -0.0219647 0.301512
402 -0.128327 0.179607
455 -0.15767 0.285405
195 -0.101505 -0.135355
393 -0.064092 0.172117
318 0.122045 -0.107783
406 0.011997 -0.157334
240 0.257677 0.0662051
481 -0.047735 -0.0961983
535 0.11396 -0.159918
429 0.255295 0.289404
292 0.0178041 0.233981
109 0.10537 -0.134826
138 0.0876735 0.181213
60 -0.0815875 0.191655
106 0.255687 0.118184
218 0.280458 -0.141643
521 0.243239 -0.0833169
28 0.223831 -0.0146064
90 0.0296383 -0.0830589
342 -0.00627109 0.32248
80 0.234447 0.27734
22 0.316777 -0.0983477
298 0.0992538 -0.0385536
495 -0.164688 -0.0210995
14 -0.0632816 -0.15384
522 0.0120986 -0.00812814
52 0.159498 0.253641
306 0.0609923 0.351688
474 -0.11833 0.0230922
38 -0.0948866 -0.0698867
460 0.208291 0.22665
202 0.322168 0.0506819
231 0.193417 0.264421
536 -0.152265 -0.18833
527 0.0463512 0.249349
21 0.302317 -0.10176
89 -0.0588393 0.031138
153 0.211108 0.0655272
85 -0.143257 0.17298
73 -0.141845 -0.0845874
450 0.0450622 -0.0277732
20 0.0235415 0.30645
497 0.268221 0.21563
93 -0.167342 0.215164
389 -0.0327321 0.31548
334 0.0751418 0.295468
476 -0.0779455 -0.00145455
520 0.0307742 0.298499
441 -0.173698 0.228259
209 0.288576 -0.00242628
320 0.0131968 0.231644
433 0.162926 -0.101975
236 0.194754 0.00339661
416 0.0763369 0.25732
368 0.293994 0.0574201
152 0.272228 0.307123
505 0.302305 0.0192337
363 0.0392685 -0.199422
304 0.112242 -0.125015
133 0.287888 0.130955
223 -0.0308954 -0.141803
96 -0.175521 -0.0597229
408 -0.107502 0.238752
29 -0.166108 0.0149195
461 0.283566 -0.0226952
224 0.0100757 -0.181085
72 0.0670474 0.07953
303 -0.0856603 -0.0574754
508 -0.149537 -0.0181084
308 0.283947 -0.043885
316 0.142622 0.151444
295 0.270469 0.000761995
64 0.284455 0.0104948
95 0.0278437 -0.107618
134 0.221482 0.290607
103 0.268254 0.232055
183 0.306108 -0.0390843
