gene,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127,dim128
O74473,-0.0219184,-0.00339267,-0.0139061,-0.00758344,-0.0114257,-0.0137872,-0.0522501,0.0170026,0.0069584,-0.0331875,-0.00346807,-0.00697508,-0.0599934,0.0175503,-0.00808814,0.0298181,0.0746342,-0.0453311,0.0950525,0.0199806,0.0135361,0.0501295,0.0145655,-0.00673336,-0.0116414,-0.019429,0.0658516,0.0356783,0.00869751,0.0272738,0.0709319,-0.0167624,0.0383036,0.0084555,0.0555538,0.0592337,-0.0494542,-0.0369982,0.0359282,-0.0988318,-0.0342611,0.0897072,0.0100545,-0.00801843,0.0442617,0.00989926,0.025265,0.0147607,-0.0268061,-0.0462155,-0.0372802,-0.0946207,0.0177169,-0.0487048,-0.00298189,-0.0233387,-0.00179927,-0.00182662,-0.0321674,-0.0363574,-0.0366772,-0.0195068,0.053634,0.0518425,-0.0179363,0.04548,0.0589566,0.0980877,0.00801958,-0.0453831,0.0639793,0.0927929,-0.0438586,0.0914963,-0.00346662,0.0463925,-0.0102196,0.0421073,0.016374,0.0367595,-0.0105272,-0.0317644,0.0208344,0.0649693,0.13089,0.0136257,-0.058143,-0.0163087,0.0505575,0.027669,-0.00765048,-0.0509409,0.0129186,-0.0471682,0.041834,0.0435674,0.0442023,0.0496536,-0.0491487,-0.112286,-0.0606055,-0.0138874,-0.00325615,0.00178565,0.0475871,0.0231032,-0.0103172,-0.0245462,-0.083079,0.0285586,-0.0623283,0.00413461,0.00383313,-0.0162879,0.0206867,-0.0494074,-0.0808845,0.093474,0.0459314,-0.0647845,-0.0216893,0.0553569,-0.0690222,0.068008,-0.00891735,0.000840815,-0.00475056,-0.0201486
P36589,-0.0265227,-0.00319355,-0.0257466,-0.0081263,-0.0120649,-0.025086,-0.0719398,0.0222013,0.00291487,-0.0436708,0.00203679,-0.0149274,-0.0881955,0.0254301,-0.0048603,0.0387038,0.103812,-0.0644724,0.133512,0.028008,0.025906,0.0692801,0.0154442,-0.0125488,-0.0189366,-0.0342463,0.0970116,0.0544621,0.0203234,0.0374688,0.10171,-0.0202842,0.0538618,0.0166085,0.0740244,0.0841676,-0.0661947,-0.052818,0.0483918,-0.138356,-0.0479255,0.131432,0.00942313,-0.00904451,0.0649145,0.0131219,0.0405555,0.0141362,-0.0443115,-0.070887,-0.0559811,-0.133196,0.0233875,-0.0710591,-0.00399309,-0.0326877,-0.000968542,-0.00184336,-0.0429548,-0.0592146,-0.0537512,-0.0318863,0.0801776,0.0792089,-0.0222715,0.0616689,0.0823776,0.148871,0.0115678,-0.059905,0.0914403,0.132524,-0.0600651,0.126925,-0.0027941,0.0629626,-0.0111537,0.0568992,0.0252939,0.0544835,-0.016522,-0.0368039,0.0363504,0.0879668,0.191879,0.020099,-0.085184,-0.0198704,0.0709419,0.041602,-0.0132629,-0.0723329,0.0175785,-0.0752921,0.0585116,0.0605603,0.0591855,0.0796373,-0.0717144,-0.161026,-0.0814116,-0.0213313,-0.00165543,0.00146812,0.0603053,0.0341172,-0.0132244,-0.0331866,-0.122364,0.0387258,-0.0865302,0.00851421,0.00502832,-0.0230708,0.0238412,-0.0676785,-0.115717,0.135826,0.0613347,-0.0933614,-0.028492,0.0756655,-0.0997911,0.102158,-0.01013,-0.00548082,-0.00284398,-0.0316141
P36594,-0.0074098,-0.00232038,-0.00633499,-0.00114058,-0.00564227,-0.00593512,-0.0224238,0.00555043,0.00238546,-0.0151636,-0.00220507,-0.0065898,-0.0232711,0.00821465,0.0017219,0.00773754,0.0324121,-0.0186495,0.0391836,0.00708448,0.00651828,0.022661,0.00607686,-9.67375e-05,-0.00250811,-0.0107424,0.0299663,0.0136455,0.0016609,0.00996946,0.0287809,-0.00478114,0.0164391,0.00155308,0.0244737,0.0257129,-0.0170697,-0.0171126,0.0173128,-0.039548,-0.0138736,0.0365667,0.0036436,-0.00541516,0.0224571,0.00563387,0.00942344,0.00497726,-0.00951082,-0.0209965,-0.0155807,-0.037382,0.00871653,-0.0181257,0.00156863,-0.00743222,0.000805352,-0.00354727,-0.0122289,-0.018031,-0.0166054,-0.00938026,0.0219075,0.0253602,-0.00794051,0.0172908,0.0249368,0.0431585,0.00601353,-0.0163232,0.0288037,0.0412086,-0.0209526,0.0331499,-0.00105857,0.014799,-0.00387117,0.0136748,0.00919796,0.0176044,-0.00696826,-0.013428,0.00789356,0.0240905,0.0503786,0.00420889,-0.0224719,-0.00649926,0.0222178,0.0153911,-0.00777269,-0.0250626,0.00688665,-0.021509,0.0200461,0.0149307,0.019272,0.0189034,-0.0169275,-0.0443106,-0.0218171,-0.00817836,0.00145479,-0.00174779,0.0165424,0.00579375,-0.00227267,-0.0116517,-0.0323337,0.0092638,-0.0222353,-0.000532612,0.00250245,-0.0057465,0.00456394,-0.0196694,-0.0296365,0.0375818,0.0176929,-0.0254691,-0.00563335,0.0224054,-0.0244211,0.0275384,-0.00194389,-0.000280337,-0.00206079,-0.00717711
O42913,-0.0146171,0.000360636,-0.0155358,-0.0066157,-0.00544963,-0.0147981,-0.040498,0.0141221,0.00645833,-0.0234846,-0.00341705,-0.00563573,-0.050916,0.013443,-0.00397319,0.0225764,0.0687158,-0.0374595,0.0804665,0.0182934,0.0111268,0.0451799,0.0067903,-0.00699591,-0.00655404,-0.0168936,0.0582932,0.0340214,0.0072188,0.0277699,0.0638897,-0.0102302,0.0343282,0.00845279,0.0468774,0.0486251,-0.0435802,-0.0317645,0.0319205,-0.0798444,-0.0277393,0.0781517,0.0102453,-0.00648049,0.0414202,0.0026601,0.022904,0.00962039,-0.024517,-0.0430269,-0.0346475,-0.0854064,0.0120187,-0.0435776,-0.00499404,-0.0166801,-0.000747898,-0.0040324,-0.0264983,-0.0372925,-0.0283684,-0.0172901,0.0480035,0.0426577,-0.0156764,0.0359833,0.0464851,0.093389,0.00613212,-0.0395338,0.0515499,0.0787998,-0.0390721,0.0774154,-0.00133586,0.0390738,-0.0056742,0.0363962,0.0104796,0.0285958,-0.00384563,-0.0274822,0.0252039,0.0575634,0.111738,0.014247,-0.0534018,-0.0154403,0.0425745,0.0247309,-0.0121217,-0.0481296,0.00539688,-0.0409178,0.0375145,0.0393833,0.0347139,0.04499,-0.0427542,-0.0993768,-0.0492219,-0.0144281,0.00428223,0.00260564,0.0348747,0.021802,-0.00541502,-0.0235588,-0.0765135,0.0227555,-0.0547516,0.00163103,0.00142881,-0.0095317,0.017265,-0.0420198,-0.0728488,0.0838726,0.0334472,-0.0561708,-0.0203605,0.0437032,-0.0546498,0.0590608,-0.00917779,-0.0030809,-0.00531151,-0.0191344
P41411,-0.0131315,-0.00139831,-0.00932152,-0.00527575,-0.00553457,-0.0132904,-0.0315761,0.00652155,0.00274158,-0.0141075,0.00169836,-0.00248756,-0.0354882,0.00862726,0.000826444,0.014217,0.0463162,-0.0251261,0.0532271,0.0164828,0.0105574,0.0324903,0.00404501,-0.00213645,-0.00279562,-0.0160676,0.0418232,0.0193112,0.00448328,0.0178812,0.0436815,-0.00523887,0.0233508,0.00870401,0.0317334,0.036418,-0.0259291,-0.0170624,0.0234831,-0.0590278,-0.0152877,0.0525916,0.00828812,-0.00768879,0.029322,0.00793813,0.0172223,0.00364166,-0.0160388,-0.0244553,-0.0254594,-0.0566262,0.00613675,-0.0261156,-0.0036653,-0.011906,-0.00486864,-0.00565617,-0.0200705,-0.0237969,-0.0212797,-0.0110427,0.028554,0.0334115,-0.0109966,0.0221231,0.0358096,0.0633694,0.00790834,-0.0231116,0.0323325,0.0494416,-0.0248234,0.0549606,-0.00465411,0.0240771,-0.00844682,0.0264103,0.00930031,0.0214878,-0.00154618,-0.0192328,0.0176121,0.0323789,0.0789684,0.0116306,-0.0300195,-0.0112907,0.0278733,0.0157301,-0.00795227,-0.0335213,0.00353169,-0.0270707,0.0218371,0.0250461,0.0250322,0.0338746,-0.0256328,-0.0616686,-0.0361873,-0.0048639,0.00158235,0.000246362,0.0232282,0.0107044,-0.00123413,-0.0127103,-0.052842,0.0175071,-0.0384151,0.0039409,-0.00177396,-0.00526223,0.0108664,-0.0260302,-0.0486535,0.0542895,0.02498,-0.0354855,-0.0149163,0.030648,-0.0416218,0.0427038,-0.00606986,-0.00462541,-0.000691672,-0.0142931
Q09690,-0.0202119,6.15155e-05,-0.0182238,-0.00539724,-0.0126598,-0.0205831,-0.0527776,0.0145784,0.00553921,-0.0286777,0.00230491,-0.00715452,-0.0631385,0.0186222,-0.00334963,0.0270596,0.076517,-0.0431084,0.0945322,0.0199035,0.0180528,0.0479546,0.0148531,-0.00625409,-0.00917318,-0.0221483,0.0650212,0.040401,0.0081312,0.0309704,0.0663561,-0.0170429,0.0340936,0.0100924,0.0548022,0.0597891,-0.0486096,-0.0337547,0.0378633,-0.095485,-0.0289137,0.0951756,0.01131,-0.00997719,0.0506695,0.00346491,0.0325764,0.0154177,-0.0320707,-0.0516439,-0.0402348,-0.0922373,0.0131211,-0.0485488,0.00184061,-0.0229326,-0.0034433,-0.00393231,-0.0281775,-0.0390063,-0.0344069,-0.0250693,0.0519124,0.0477621,-0.0186771,0.0465801,0.0550541,0.104163,0.0113024,-0.0405914,0.0656306,0.089419,-0.0461103,0.0903743,-0.000260062,0.0465513,-0.0102617,0.0434875,0.0170791,0.0357483,-0.0126155,-0.0299387,0.0260614,0.0613846,0.129196,0.0150303,-0.0587465,-0.0185897,0.048816,0.0270614,-0.00969663,-0.0522534,0.0120349,-0.0525111,0.0377815,0.0399675,0.0390731,0.0512951,-0.0488133,-0.111076,-0.0602057,-0.0114674,0.000366288,-0.000932626,0.0429756,0.0229771,-0.00609255,-0.0264394,-0.0833647,0.0287075,-0.0640398,0.00562525,0.00025391,-0.0135849,0.0194914,-0.0446101,-0.0812039,0.0971152,0.0471073,-0.0604271,-0.0237419,0.0519462,-0.063144,0.0663066,-0.0087236,0.000937879,9.62115e-05,-0.0264967
P78953,-0.0116283,-0.00321009,-0.00605444,-0.00246929,-0.00535668,-0.0149105,-0.0336093,0.00815637,0.00523971,-0.0189079,0.000398409,-0.00869736,-0.0406176,0.0117634,-0.00686509,0.0142427,0.0481123,-0.0288294,0.0525712,0.0131362,0.0105793,0.0287344,0.00731249,-0.0079336,-0.00699213,-0.017926,0.0393917,0.0216078,0.00355932,0.0183186,0.0420993,-0.0073821,0.0204169,0.00332315,0.0343663,0.0378414,-0.0251407,-0.024393,0.0255403,-0.0601838,-0.0166585,0.0546702,0.00754282,-0.00482228,0.0304181,0.00705773,0.016414,0.0044955,-0.019457,-0.0285804,-0.0246279,-0.0615822,0.0102863,-0.0286466,-0.00280236,-0.0106238,-0.000536615,-0.00155341,-0.0219775,-0.0273664,-0.0180239,-0.0116089,0.0300025,0.0337864,-0.0121537,0.0296922,0.0308715,0.0581723,0.00289149,-0.0222757,0.0398027,0.0566874,-0.0278108,0.0503088,-0.0026591,0.0227592,-0.00623156,0.025169,0.011874,0.0214225,-0.00709021,-0.0206607,0.0150748,0.0343914,0.0768224,0.00630382,-0.033277,-0.00935227,0.0339524,0.0203608,-0.00593612,-0.035614,0.00190088,-0.031232,0.0253078,0.0254031,0.0251087,0.0339735,-0.0316659,-0.0633337,-0.0337058,-0.00968079,-0.00278562,0.00360341,0.0235557,0.0154824,-0.00491046,-0.0113774,-0.0477621,0.0150708,-0.0384675,0.00225858,-0.000884175,-0.00692407,0.0129016,-0.0327578,-0.0520719,0.0575563,0.024459,-0.0380622,-0.0142568,0.0285921,-0.0383886,0.0408036,-0.00345152,0.000877671,-0.00471963,-0.0117197
O13734,-0.00780407,0.00011956,-0.00644719,0.00211339,-0.0075119,-0.00803455,-0.0220246,0.00261874,0.00142475,-0.0137063,0.00454687,0.000105762,-0.0236359,0.00462304,-0.00215612,0.0141839,0.0289642,-0.0170941,0.0340436,0.00711945,0.00726206,0.019115,0.00287095,-0.00706695,-0.00304876,-0.0112864,0.0292486,0.0128206,0.00820575,0.0107791,0.0287827,-0.00770181,0.015278,0.00237079,0.0211868,0.026208,-0.0198801,-0.0173678,0.0121415,-0.0367329,-0.00964149,0.0337771,0.00208223,-0.00274826,0.0194726,0.00702618,0.0106289,0.00293242,-0.0104012,-0.0164415,-0.0165247,-0.0419695,0.00766892,-0.0175266,0.00390827,-0.0069325,0.000718052,-0.000983499,-0.012381,-0.0181172,-0.0110392,-0.0109273,0.0200627,0.0233262,-0.00898107,0.0217963,0.0220438,0.0432008,0.00247131,-0.0145488,0.0237008,0.0329463,-0.0146121,0.0375642,0.00280998,0.0151642,-0.00732672,0.0143439,0.00479037,0.0182189,-0.00360524,-0.0155768,0.00825977,0.0267145,0.055924,0.00375082,-0.0210365,-0.00462579,0.0209683,0.0119944,-0.00327847,-0.0224345,0.00186503,-0.0217989,0.0133848,0.014266,0.0133395,0.0210662,-0.0202514,-0.048101,-0.0221682,-0.00176203,-0.00467601,0.00530271,0.0217662,0.004817,-0.00489589,-0.0130026,-0.0360313,0.00872865,-0.0277967,0.00364252,0.00333827,-0.00824848,0.004328,-0.020662,-0.0279907,0.0390374,0.0145306,-0.0307591,-0.00790181,0.0206633,-0.026487,0.0318594,-0.0055087,-0.00237431,-0.00051195,-0.00789357
Q9Y804,-0.128981,-0.00782124,-0.093626,-0.0276877,-0.0541323,-0.0967319,-0.299324,0.0846342,0.0309778,-0.183862,0.00456311,-0.0576491,-0.374261,0.11526,-0.0407738,0.162396,0.441221,-0.272239,0.547564,0.133127,0.0967724,0.281961,0.0693155,-0.0426512,-0.0645489,-0.131021,0.41019,0.227822,0.0689566,0.171827,0.41386,-0.0859156,0.215842,0.0639993,0.308156,0.349272,-0.282504,-0.210195,0.211176,-0.567771,-0.194708,0.550706,0.0386075,-0.0418503,0.282531,0.0438169,0.17713,0.0680511,-0.17228,-0.29184,-0.230517,-0.567305,0.0861188,-0.280926,0.00045309,-0.127033,-0.014444,-0.015701,-0.184582,-0.245492,-0.196551,-0.131953,0.316761,0.305879,-0.100606,0.258818,0.335032,0.606176,0.0513448,-0.256891,0.354637,0.540594,-0.252717,0.535,-0.00532527,0.261231,-0.0578978,0.244611,0.0963436,0.21422,-0.0466832,-0.177173,0.151973,0.364635,0.779897,0.0857276,-0.345569,-0.0989013,0.308149,0.178499,-0.068262,-0.30557,0.0484747,-0.298986,0.255684,0.262613,0.252712,0.32129,-0.273968,-0.655077,-0.339857,-0.0765582,-0.00797785,0.0207459,0.27044,0.126902,-0.0454197,-0.13952,-0.50148,0.165763,-0.379487,0.0335564,0.0254178,-0.0884753,0.096734,-0.294748,-0.474477,0.564369,0.252398,-0.389127,-0.123528,0.315214,-0.398013,0.424661,-0.0415081,-0.0114701,-0.0193267,-0.138821
Q10097,-0.00683739,0.000186821,-0.00467835,-0.00368944,-0.00207522,-0.00459966,-0.0178688,0.00428102,0.00212086,-0.00698856,0.00312804,0.00105589,-0.0191078,0.00726107,-0.00584311,0.00955428,0.0242459,-0.0133917,0.024695,0.00955751,0.00380723,0.0172124,0.00140115,-0.000955611,-0.00111258,-0.00813662,0.0230214,0.012275,0.00783391,0.00957722,0.02313,8.08711e-06,0.0125336,0.000189383,0.0144963,0.0139215,-0.0158675,-0.0119778,0.012785,-0.0238396,-0.0120939,0.0294281,0.00337727,-0.00137059,0.0107643,0.0044594,0.00652509,0.000619311,-0.0118865,-0.012944,-0.0112045,-0.0248773,0.00688189,-0.0126318,0.000329605,-0.00247819,-0.00134374,-0.000938099,-0.00564302,-0.0115359,-0.00558979,-0.00522674,0.0135089,0.0137256,-0.00259038,0.0103635,0.0175428,0.0310477,0.00347249,-0.0110247,0.020137,0.0291724,-0.0165274,0.0266674,0.00179747,0.0142852,0.000567103,0.0132221,0.00608961,0.0105153,-0.00600649,-0.00697171,0.0105577,0.0164392,0.0411949,0.00410704,-0.0156765,-0.00240149,0.016005,0.0103991,-0.00219356,-0.0141395,0.00421555,-0.0132684,0.0147363,0.0131238,0.00886477,0.0196034,-0.0130314,-0.0342006,-0.0149273,-0.00405958,-0.000762404,0.00555697,0.0162122,0.00688341,-0.00198847,-0.00588482,-0.0262025,0.00831648,-0.0216459,-0.00229739,0.0010775,-0.00323572,0.00400257,-0.0116231,-0.0216005,0.0267399,0.0112793,-0.0232215,-0.0040121,0.0122981,-0.0170799,0.0240178,-0.00256245,0.00214922,0.00137049,-0.00357459
