protein,dim1,dim2
Q07629,0.237551,0.345917
P25299,0.599883,0.737701
P32569,0.546499,0.611923
P47069,0.504397,0.966948
P06704,0.561415,0.619983
P53549,0.406935,0.502473
Q03083,0.122637,0.469891
P30771,2.54356,2.99473
Q03096,0.469238,0.338247
P12611,0.463306,0.647238
P39517,1.21675,1.31337
P47001,0.365232,0.452818
P36143,0.391366,0.217507
Q12091,0.173342,0.728326
P38775,0.388652,0.0774546
P22516,0.445341,0.59751
P32505,1.64756,2.52765
P16664,0.348605,0.447134
P32589,0.89207,0.779543
P08458,0.800985,0.889786
Q07798,0.520561,0.694301
Q12016,0.2233,0.507686
Q12493,0.321401,0.575263
P19882,0.478794,0.843031
P47176,0.135832,0.297504
P38806,0.421857,0.424457
P38811,0.39688,0.672204
P53201,0.425225,0.577165
P38829,0.470037,0.410019
Q04922,0.101665,0.498717
P38825,0.13724,0.598909
Q05934,0.168686,0.479993
P53246,0.259391,0.387008
P38199,2.10526,2.23425
P40497,0.150736,0.444553
Q06410,1.07835,1.11328
P32364,0.611928,0.838628
P06787,0.842393,1.38168
P61830,1.03848,1.64103
P21339,0.435343,0.353496
P27705,0.494199,0.611179
P04807,0.466832,0.506948
Q03370,0.66062,1.04603
Q12006,0.585638,0.454998
P46961,0.780735,0.772651
Q99287,0.248484,0.627183
P0CS90,0.556764,0.758068
Q3E7B3,0.308223,0.367346
P39715,0.595155,0.507117
P07702,0.23772,0.169982
P21592,0.488015,0.370418
P36003,0.862937,0.866724
P05986,0.699218,1.29464
P40563,0.197142,0.470484
P0CG63,1.50297,1.99437
P35206,0.35038,0.737584
P23285,0.0252177,0.48126
P25567,1.49759,2.12953
P23638,0.689671,0.787508
P38263,0.437883,0.607585
P0CX53,0.531342,0.610928
P40013,0.385439,0.684613
P06242,0.58075,0.804943
P34223,0.387332,0.655308
P19541,0.41258,0.616888
Q12529,0.385408,0.209417
P10591,1.46071,1.69831
P89102,0.722489,0.417699
Q12329,0.525736,0.732084
P32898,0.131307,0.471214
P12695,0.182253,0.25853
P47034,0.335477,0.335509
P53849,1.49324,2.17162
P38882,0.70363,0.393638
P28496,0.58308,0.908339
P47116,1.26449,1.48529
P38853,0.380388,0.949687
Q01926,0.393061,0.559898
P39723,0.526242,1.25208
P47061,0.517068,0.530686
Q3E841,0.0656082,0.356938
P18852,0.222737,0.455687
Q12229,0.225654,0.24963
P38341,0.307297,0.699893
P36521,0.424338,0.426668
Q08179,0.792383,0.991766
P40033,0.659036,0.675343
Q07560,0.0518002,0.297151
Q03835,0.410096,0.664604
P38315,0.165055,0.576695
P18544,0.180745,0.307275
Q08235,0.430724,0.663629
P40693,1.03519,1.2418
P0CX38,0.346823,0.701976
P23179,0.364543,0.809331
Q3E792,0.0595257,0.64394
Q03330,0.780713,1.22914
P48524,0.471036,0.44334
Q07505,0.422343,0.339083
Q08227,0.116671,0.286091
P22276,0.193718,0.772063
Q12306,1.50024,1.6748
Q04087,0.639731,0.833224
P53316,0.435525,0.658587
P47042,0.841796,0.872355
P40084,0.411691,0.616388
P0C2I3,0.248491,0.483517
P53982,0.387705,0.446123
Q08929,0.43421,0.418027
P38324,0.269291,0.210775
P38212,0.349508,0.097943
Q12527,0.391152,0.877235
P0CX52,0.464152,0.712599
P53927,0.750982,0.925357
P41819,0.22842,0.622183
Q03104,0.38586,0.153137
P07253,0.503841,0.51608
P08524,0.27248,0.531966
P27466,0.851919,1.50964
Q05791,0.225877,0.369491
Q12334,0.345075,0.423503
P05453,0.688609,0.64916
Q08968,0.561788,0.361565
Q08649,0.819181,1.15415
P43583,0.255566,0.584294
Q08986,0.560106,0.711578
P25358,0.613753,1.14902
P38859,0.246533,0.607991
Q06640,0.163143,0.498658
P17505,0.418573,0.541323
Q08004,0.495306,0.914415
P38316,0.678908,0.840478
P33299,0.812871,0.829304
P22515,0.429921,0.907405
P38271,0.343706,0.388822
P40494,0.737186,1.03099
Q03233,0.48134,0.480756
P47043,0.17609,0.497363
Q04964,0.596135,0.791268
P21672,0.31832,0.588233
Q6Q5P6,0.354816,0.41998
Q12495,0.576219,0.751023
P40475,0.367393,0.328965
P38264,0.773027,1.48597
P0CE11,0.352022,0.46596
P39001,0.722506,0.550716
P38255,0.305397,0.621096
Q12380,0.158491,0.467748
P38288,0.460692,0.28651
P25303,0.37529,0.495375
P46962,0.407353,0.735619
P33324,0.397737,0.395349
Q06488,0.528836,0.645575
P53112,0.598617,0.932688
Q08215,0.292647,0.613453
P22140,0.400724,0.586105
P21825,0.532438,1.05581
Q08906,0.153169,0.386628
P39729,0.302043,0.610134
Q12274,0.384287,0.262944
P43321,0.426634,0.917981
P40204,0.576239,0.675724
Q08910,-0.0643673,0.321664
Q12034,1.38637,2.38089
P11076,0.511486,1.16291
Q12415,0.364467,0.707443
Q06339,0.210408,0.470971
P32367,0.161115,0.713967
P32347,0.419311,0.3199
P06103,0.610015,0.868545
P32497,0.42647,0.898989
P32835,0.719984,0.760608
Q07807,1.40839,2.30764
P48015,0.203007,0.382309
P10080,1.40598,1.64728
P53847,0.346276,0.494414
P17261,0.334256,0.569858
P32796,0.200066,0.668303
P34244,0.876327,1.08729
P06844,0.39405,0.537275
Q12030,0.478245,0.658657
Q05027,0.529133,0.959731
P40368,0.551462,0.399075
Q12403,0.457755,0.652565
P31374,0.565379,0.502887
P0CF19,0.27439,0.181853
P32899,0.317129,0.484038
P40159,0.205594,0.606915
P21304,0.560411,0.663474
P53617,0.853559,1.22137
P46671,0.0954443,0.635901
Q06001,0.212861,0.447163
Q03900,0.500783,0.308209
P07285,0.21123,0.402048
P37292,0.558241,0.285233
Q03494,-0.0408855,0.530933
P38823,0.73859,1.05099
P47099,0.162244,0.612198
P35127,0.361085,0.233123
P0CH09,0.434152,0.479025
P48510,0.434419,0.604305
P32179,0.401845,0.139756
P38112,0.555029,0.70303
P38789,0.591527,0.601893
P46957,0.381062,0.43986
P47110,0.263983,0.458704
P15873,0.814113,1.00325
Q05131,0.263586,0.258636
P27472,0.718143,0.638591
Q06032,0.301472,0.665944
P50623,0.555121,1.13377
P15442,0.517018,0.705515
P25040,0.167533,0.360426
Q6Q560,0.30041,0.562495
P46944,0.578845,0.691412
