gene,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
P33754,0.111506,0.0205441,0.0541778,-0.0227143,-0.000992567,0.0473232,0.0202381,-0.0364786,-0.0196935,0.0386404,-0.0333664,-0.00725537,0.0363854,0.0603782,0.017525,0.0194384,-0.0276919,0.0283305,-0.0601828,0.0280842,-0.0484168,-0.040444,0.101277,-0.00114735
Q9UUA4,0.0286099,0.00992291,0.00301067,-0.0212086,0.018909,0.0308634,0.0151098,-0.0126764,-0.0228239,0.0170613,-0.0181414,-0.00453578,0.0301284,0.0207216,0.0229177,0.0117974,0.0105109,0.0180361,-0.0429555,0.00764112,-0.00900097,-0.0241788,0.033849,-0.0213056
P06844,0.347159,0.0975679,0.146492,-0.057633,0.046108,0.187649,0.0347528,-0.09919,-0.0729274,0.106976,-0.0507342,-0.0446282,0.12209,0.121447,0.0525336,0.100371,-0.0241481,0.0651634,-0.197037,0.0988488,-0.111892,-0.157457,0.297193,-0.0333037
O14311,0.344438,0.104444,0.157492,-0.0578196,0.0670863,0.170014,0.04947,-0.0935002,-0.0637294,0.0741267,-0.0416475,-0.0696028,0.107355,0.13714,0.0553378,0.0938415,-0.0393596,0.0460042,-0.166177,0.100294,-0.102036,-0.143135,0.268031,-0.0457893
P37297,0.33255,0.0847109,0.138683,-0.0547312,0.0429852,0.185829,0.0348703,-0.0864841,-0.0419871,0.0882503,-0.056449,-0.0733087,0.112488,0.107295,0.0631962,0.0914888,-0.0214126,0.0681901,-0.203609,0.0724095,-0.109118,-0.127568,0.282212,-0.0285027
Q9USR3,0.348264,0.0975236,0.12622,-0.0401928,0.0447305,0.171464,0.0361671,-0.08458,-0.0578018,0.0652711,-0.0560796,-0.0739624,0.0890304,0.0999697,0.0723001,0.1078,-0.0440464,0.0755833,-0.159744,0.0816231,-0.103005,-0.139697,0.274384,-0.0477537
Q10740,0.341449,0.0958347,0.121214,-0.0243992,0.0425554,0.17746,0.0361684,-0.11393,-0.0564504,0.0811133,-0.0518447,-0.0466839,0.0853697,0.109582,0.0809025,0.101979,-0.00442032,0.0690044,-0.172235,0.0970742,-0.106112,-0.153645,0.249269,-0.0202988
O94544,0.332001,0.0725343,0.144481,-0.0177077,0.0588603,0.168617,0.0382796,-0.0930327,-0.043695,0.092336,-0.0581465,-0.0491874,0.104692,0.125269,0.0765605,0.102852,-0.00287821,0.0360292,-0.160152,0.0725193,-0.1139,-0.129786,0.254833,-0.0206656
P16387,0.295878,0.0878471,0.115592,-0.0350334,0.0551612,0.119886,0.0177348,-0.0871712,-0.0610672,0.0459366,-0.0276456,-0.0548601,0.0764048,0.122204,0.0689007,0.0772605,-0.0137089,0.0285935,-0.145952,0.0753747,-0.0847144,-0.112792,0.228597,-0.0142448
Q10489,0.296755,0.0827156,0.113045,-0.035803,0.0587943,0.128506,0.0270471,-0.0913977,-0.0544163,0.0462862,-0.043689,-0.0352298,0.0998792,0.109484,0.0369039,0.0764089,-0.0235696,0.0608054,-0.145552,0.07574,-0.0760918,-0.0885585,0.236379,-0.00861858
P04912,0.349043,0.0922668,0.159069,-0.0433488,0.027574,0.178087,0.0327899,-0.0853752,-0.0789553,0.102091,-0.0479244,-0.060746,0.126193,0.125894,0.0650379,0.112017,-0.0364755,0.0540995,-0.178306,0.0679873,-0.118601,-0.132084,0.260628,-0.0532614
P04909,0.357104,0.0982132,0.140827,-0.0204539,0.0470158,0.188923,0.0113937,-0.12415,-0.0735152,0.0681624,-0.0732169,-0.0415304,0.0971341,0.141238,0.0559611,0.0986995,-0.00269,0.0529094,-0.183702,0.104285,-0.0876936,-0.147104,0.293267,-0.0543779
P0CT67,0.352468,0.0846962,0.137402,-0.060285,0.0502852,0.189697,0.0271381,-0.122229,-0.0612292,0.0700184,-0.0520635,-0.0666398,0.123422,0.106174,0.0675059,0.105493,-0.00324144,0.0491454,-0.183446,0.101861,-0.112957,-0.133271,0.283362,-0.0225881
P0CX56,0.353972,0.10185,0.147923,-0.0454686,0.0280528,0.192509,0.00859296,-0.112536,-0.0605791,0.0709317,-0.0425039,-0.0499761,0.0940657,0.105341,0.0522877,0.080113,-0.0299897,0.0761981,-0.192307,0.0993219,-0.0943108,-0.146633,0.270317,-0.0242358
P37838,0.354588,0.108392,0.161807,-0.0295912,0.0397589,0.200342,0.0482394,-0.112919,-0.056254,0.107484,-0.0726953,-0.0783799,0.134133,0.118226,0.0495506,0.0853314,-0.0446184,0.0463356,-0.196382,0.0826295,-0.107813,-0.147516,0.271159,-0.0206726
O74400,0.330443,0.0947396,0.15284,-0.0295548,0.0391457,0.187895,0.0190698,-0.0912905,-0.0373074,0.0849665,-0.047989,-0.0765154,0.109716,0.133958,0.0787223,0.106147,-0.00494411,0.0577963,-0.178992,0.0732169,-0.0774485,-0.152575,0.261127,-0.0511146
P53157,0.28554,0.0590042,0.132785,-0.0172987,0.0334529,0.138874,0.0131503,-0.0730204,-0.0393633,0.0648532,-0.0262902,-0.0393224,0.0724098,0.10763,0.0616066,0.0968504,-0.00575572,0.0517716,-0.148576,0.0880039,-0.0975249,-0.126125,0.242185,-0.0327962
O74847,0.290421,0.0896328,0.142785,-0.0342269,0.0563189,0.153628,0.0315382,-0.0721823,-0.063919,0.0875779,-0.0399748,-0.0740693,0.0766775,0.11099,0.0564914,0.0867941,-0.000506304,0.0517538,-0.146799,0.0569031,-0.0863873,-0.126183,0.263672,-0.0477776
P13517,0.343788,0.102722,0.161936,-0.0464593,0.0353483,0.177188,0.0281463,-0.123213,-0.0732231,0.0713585,-0.0592423,-0.0803699,0.119988,0.137952,0.0667674,0.104914,-0.0393579,0.0742341,-0.17855,0.105156,-0.0897547,-0.152113,0.273072,-0.0563245
Q9HGP5,0.329788,0.0981576,0.138652,-0.0446592,0.0218175,0.186566,0.0179753,-0.0893991,-0.0395155,0.0934952,-0.0528347,-0.0381048,0.095572,0.106545,0.078859,0.0922768,-0.019069,0.0615905,-0.186815,0.0908095,-0.11348,-0.122778,0.236235,-0.0517596
O13696,0.306799,0.0975163,0.125088,-0.0241669,0.0435084,0.159575,0.032735,-0.0763778,-0.0326831,0.0890245,-0.041774,-0.0589276,0.103337,0.0923308,0.0474679,0.0765205,-0.0113601,0.0702814,-0.146083,0.0878981,-0.0873455,-0.109559,0.226129,-0.0296127
P28834,0.302222,0.0638939,0.154041,-0.0474682,0.0273375,0.147006,0.0396224,-0.0820009,-0.0369317,0.061899,-0.0401887,-0.0433916,0.0872011,0.133658,0.0590703,0.0910444,-0.0406394,0.0752462,-0.182664,0.087019,-0.115914,-0.127027,0.247631,-0.0212249
P07277,0.335802,0.0621296,0.146522,-0.0418709,0.0272556,0.151189,0.00882367,-0.0825958,-0.0629338,0.0973862,-0.0373172,-0.0476586,0.111921,0.120358,0.0620798,0.0779071,-0.0191123,0.0524493,-0.167531,0.102017,-0.0961516,-0.142824,0.269364,-0.0373432
Q09780,0.366305,0.0752097,0.160497,-0.0450193,0.0530956,0.185344,0.0166982,-0.11555,-0.0396066,0.0954407,-0.0468852,-0.0456715,0.0988974,0.138252,0.0776823,0.0884925,-0.0243042,0.0468633,-0.175961,0.100239,-0.0839837,-0.130287,0.279918,-0.0203484
