gene,dim1,dim2
P25339,-0.0194757,-0.527367
P22216,0.381689,-1.1288
P53632,0.0278481,-1.22313
P52871,-0.103265,-0.675425
P52870,-0.0689566,-0.834313
P17967,0.210603,-2.44427
P20448,0.130366,-0.437114
Q12050,0.378896,-1.78708
Q03660,0.0811279,-0.605978
P42847,-0.100443,-0.589373
P35187,0.665391,-2.41219
Q04659,0.180342,-0.975365
P19524,0.330789,-1.19572
P40554,0.154434,-0.571983
P32598,0.743995,-2.66575
P33297,0.0614872,-0.410077
Q05027,0.268756,-1.96018
Q03761,0.0434277,-0.708912
P36135,-0.104423,-0.815605
P53616,0.0237728,-0.481987
P53261,0.249602,-0.42018
Q06697,0.54026,-2.39055
Q08179,0.062666,-0.431418
P32793,0.0513655,-0.742935
P25369,0.354491,-0.659338
P36532,0.046692,-0.296605
P06104,0.236329,-1.347
P38625,0.281324,-0.194482
P47115,0.184363,-0.397447
P02829,0.490744,-2.48713
P41818,0.110128,-1.16025
P41940,0.287446,-0.485975
P23615,0.277816,-0.977338
Q05949,0.249878,-0.982439
P80428,0.117891,-1.36118
P48562,0.293061,-1.54425
P32364,0.286742,-0.492905
P08456,-0.0449152,-0.843908
P25578,-0.0761327,-0.644215
P39735,0.320414,-0.445548
P38207,0.0982263,-0.794895
P32332,0.0398684,-0.697613
P07261,0.667867,-2.32549
P28707,0.489822,-2.57056
Q03954,-0.160703,-0.373452
Q01080,0.232774,-1.39549
P53854,-0.0593081,-0.541195
P38855,0.0537943,-0.275287
P38696,0.38594,-2.58817
P07269,0.220331,-0.16585
Q02875,0.376507,-0.482637
P46677,0.399928,-2.87868
Q02981,0.330252,-0.17706
Q03735,-0.0235998,-0.576745
P22146,0.149686,-1.50614
P40474,0.18063,-0.637852
P14736,0.320537,-0.485077
Q06336,-0.0706992,-0.655918
Q04377,0.11243,-0.776651
P10363,-0.0180859,-1.11036
P19880,0.366112,-0.621935
P34760,0.148663,-1.66166
Q06164,0.0612848,-1.106
Q12457,-0.146718,-0.279095
P04840,0.126946,-0.605356
P14906,-0.00890587,-0.77358
P16474,0.0442654,-1.2267
P15367,0.226117,-0.87194
P38915,0.510072,-1.24591
P38262,0.258146,-0.57634
P31385,0.413779,-1.05883
Q05785,0.0619981,-0.763309
P34216,0.345215,-0.636301
Q00772,0.110073,-1.63487
P87262,0.267881,-0.601179
P39927,0.122454,-0.672679
P43635,0.0746878,-0.814238
P08679,-0.0956548,-0.651714
P47116,-0.0794346,-0.427318
P25454,0.589113,-1.79201
P53224,-0.0300441,-0.350294
P17119,0.303845,-1.21348
P53096,0.191844,-0.703128
P31376,0.161886,-0.93754
P38689,0.136097,-0.798543
P53965,0.131152,-0.401772
P38970,-0.0584931,-0.377231
P20449,0.497513,-1.57108
P39705,0.342669,-0.921164
P41695,0.430747,-2.21986
Q12509,0.428995,-1.03611
Q12510,0.213672,-0.366624
