protein,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
Q12117,-0.0318379,-0.144567,-0.043075,-0.0573217,0.0741372,0.16734,-0.124489,0.00115516,-0.0116463,0.166045,0.051376,0.0612976,-0.0957125,0.00430058,0.0234649,-0.0979659,-0.0970391,0.0355669,-0.141506,0.248919,0.0488333,0.0143221,0.00354269,-0.110141
Q01477,-0.0828581,-0.45439,-0.189262,-0.251571,0.243198,0.606583,-0.47262,0.0025158,-0.0803264,0.65102,0.17924,0.157233,-0.27016,0.0461868,0.076555,-0.302117,-0.306972,0.144644,-0.516879,0.794979,0.189932,0.0592974,-0.00517978,-0.282525
Q02892,-0.0516898,-0.245095,-0.0982053,-0.13716,0.134535,0.371935,-0.287142,0.0127274,-0.029126,0.387419,0.129577,0.0782928,-0.132362,0.0345058,0.0517615,-0.167898,-0.204315,0.0945435,-0.31485,0.455894,0.117524,0.0514476,-0.00822299,-0.195087
P26798,-0.044403,-0.137043,-0.0389035,-0.0826195,0.0676708,0.211961,-0.134754,0.00218225,-0.0257222,0.188064,0.0450004,0.0568544,-0.0729748,0.0332211,0.0136162,-0.0888908,-0.0900917,0.0599118,-0.172042,0.258032,0.050029,0.0219277,0.000166536,-0.0815834
P04387,-0.0309319,-0.207443,-0.0774351,-0.130499,0.148316,0.322152,-0.245224,0.00132482,-0.0534574,0.315829,0.102036,0.0854787,-0.121056,0.0294617,0.0339162,-0.165345,-0.180313,0.0665874,-0.261643,0.422665,0.0909842,0.0440654,0.00549482,-0.137006
Q12493,-0.0298403,-0.158724,-0.0702713,-0.112295,0.0853878,0.23106,-0.195311,-0.00123529,-0.0298054,0.24651,0.0672834,0.06335,-0.0897858,0.0186114,0.00842945,-0.132822,-0.114432,0.0475949,-0.194638,0.328944,0.0830319,0.0219308,-0.0129474,-0.108971
P35995,-0.035177,-0.0670587,-0.0214458,-0.053692,0.0667667,0.109206,-0.0839488,0.0108721,-0.00462698,0.119144,0.0370034,0.027287,-0.042171,0.00848731,-0.00583097,-0.0681809,-0.0702107,0.0367267,-0.10279,0.144277,0.0406057,0.025197,0.0112339,-0.0570221
Q07807,-0.162307,-0.730317,-0.289979,-0.420773,0.400138,1.01496,-0.796584,-0.025954,-0.122788,1.02728,0.307011,0.236446,-0.395524,0.0974525,0.0904884,-0.461395,-0.549267,0.222774,-0.874968,1.29291,0.29561,0.0776279,-0.0180305,-0.489023
P02400,-0.062702,-0.223054,-0.0751379,-0.110042,0.141479,0.292077,-0.214034,0.0144253,-0.0598362,0.282106,0.105965,0.0848039,-0.126604,0.046518,0.0301246,-0.148828,-0.173238,0.0756515,-0.246046,0.377122,0.0788328,0.0256058,-0.011625,-0.159802
O13527,-0.0290262,-0.0826709,-0.0576219,-0.0620145,0.0536243,0.123922,-0.116032,0.0103703,-0.0122161,0.161938,0.0358446,0.025902,-0.0519232,0.0133279,-0.00266859,-0.0565185,-0.0619938,0.0244969,-0.135046,0.181151,0.0210747,0.0183382,-0.0100824,-0.0557597
P40150,-0.0821007,-0.305996,-0.116242,-0.166395,0.175804,0.434392,-0.336666,-0.0230598,-0.0558723,0.432574,0.144651,0.111374,-0.175653,0.0383515,0.0461584,-0.205295,-0.203675,0.0870963,-0.373683,0.519263,0.110876,0.0255149,0.0115559,-0.204828
Q02608,-0.0368427,-0.214194,-0.0758425,-0.130309,0.127635,0.302412,-0.235567,-0.00729545,-0.0392825,0.320345,0.0895163,0.0701648,-0.137118,0.0214357,0.0446027,-0.158734,-0.179621,0.0772329,-0.251929,0.411855,0.0921037,0.0371301,0.0214371,-0.163979
Q03976,-0.058003,-0.195295,-0.0746226,-0.123639,0.127085,0.278526,-0.224028,0.0126855,-0.0296643,0.280994,0.0903688,0.0792025,-0.132909,0.0470014,0.0175925,-0.131475,-0.147013,0.060197,-0.244912,0.355726,0.067152,0.0430865,-0.0144203,-0.154099
P53733,-0.0467856,-0.186694,-0.0680194,-0.0883659,0.0909726,0.263436,-0.2076,-0.000307742,-0.0227568,0.272994,0.0569196,0.0467431,-0.0904519,0.0277889,0.0171513,-0.11142,-0.120098,0.0545013,-0.196046,0.327127,0.0651298,0.0156378,-0.00805014,-0.100786
P38428,-0.033842,-0.16197,-0.0691397,-0.107911,0.115,0.237403,-0.183429,0.0139445,-0.0332284,0.259565,0.0776111,0.0365404,-0.115542,0.0291614,0.00929634,-0.0888894,-0.108217,0.0669566,-0.215987,0.319072,0.0670136,0.00644719,0.0107578,-0.113
P53142,-0.0516581,-0.194713,-0.0756847,-0.0984234,0.0988491,0.278875,-0.219219,0.00241496,-0.0195927,0.286331,0.0997045,0.0573138,-0.114174,0.0207092,0.0300757,-0.14967,-0.149931,0.0787601,-0.260741,0.373833,0.0619323,0.00827964,0.0204443,-0.148005
P33311,-0.000703125,-0.109463,-0.0279628,-0.0524377,0.035875,0.145632,-0.113982,0.00669567,0.000196605,0.127861,0.0511788,0.0299382,-0.0526718,0.00439564,0.0255166,-0.0700307,-0.0848389,0.0184744,-0.117676,0.1607,0.0380075,-0.00838826,-0.0079285,-0.0795338
P36051,-0.0230844,-0.11241,-0.0608645,-0.068143,0.072322,0.179217,-0.131274,0.016104,-0.0189973,0.144797,0.0625831,0.0453316,-0.0519634,-0.00454236,0.0035244,-0.0586596,-0.0686945,0.0201222,-0.140059,0.21771,0.0557704,-0.00276763,0.0208896,-0.069051
P10080,-0.147292,-0.620935,-0.249324,-0.369229,0.365213,0.850757,-0.662496,-0.0241383,-0.134514,0.893978,0.279756,0.185901,-0.367258,0.0781347,0.116769,-0.428561,-0.473269,0.203098,-0.753961,1.14526,0.263704,0.093967,-0.0203072,-0.408691
Q03178,-0.0209688,-0.14234,-0.0465599,-0.0716033,0.0693904,0.184836,-0.172433,-0.0185211,-0.0269203,0.203141,0.0559709,0.0558807,-0.0979362,0.0351262,0.0157191,-0.0896797,-0.114737,0.042487,-0.167488,0.27123,0.0715565,0.0306473,0.00422585,-0.118162
P38692,-0.0512964,-0.153551,-0.0646471,-0.0851728,0.0667971,0.210175,-0.160974,-0.0129938,-0.00999959,0.215145,0.0663757,0.0487776,-0.0856611,0.0267138,0.00388653,-0.101183,-0.129574,0.0328993,-0.201807,0.278462,0.0552576,0.00980563,-0.0126534,-0.111595
Q00772,-0.0824715,-0.312582,-0.115083,-0.172828,0.173488,0.40316,-0.324452,0.00982495,-0.0549928,0.446265,0.119161,0.0862478,-0.187968,0.0305807,0.0601856,-0.182949,-0.214526,0.113992,-0.33495,0.52773,0.105851,0.0521761,-0.00689159,-0.206613
Q02336,-0.0565732,-0.271652,-0.120153,-0.13302,0.142651,0.390755,-0.286695,-0.0018379,-0.0558125,0.370664,0.100402,0.102062,-0.172425,0.0223042,0.0254306,-0.173805,-0.187643,0.075506,-0.306197,0.461311,0.0963013,0.0371334,-0.0113448,-0.192478
Q04947,-0.0168395,-0.134931,-0.0623393,-0.0797487,0.0711675,0.204148,-0.178579,-0.014091,-0.0461274,0.225778,0.0692309,0.0290787,-0.0824521,0.0209818,0.0317391,-0.105906,-0.0975676,0.0299526,-0.184683,0.247589,0.0745497,0.0286435,0.00928417,-0.0825043
P11484,-0.146012,-0.60216,-0.251766,-0.342687,0.333084,0.85024,-0.662602,-0.030353,-0.122167,0.872817,0.286806,0.197327,-0.331724,0.0725461,0.0981928,-0.405526,-0.443087,0.197521,-0.717624,1.09524,0.259883,0.094377,0.0152126,-0.428716
