protein,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
O14102,-0.0446646,-0.0100634,0.152929,-0.124348,-0.148839,-0.137174,-0.193469,-0.0211078,-0.149563,0.143211,0.00197029,0.206002,-0.0125327,0.18658,0.0614785,0.0913401,-0.0291294,0.180934,0.0159682,0.0450225,-0.114476,0.183178,0.101571,-0.0561849
P87126,-0.138247,-0.0305266,0.645308,-0.519091,-0.630842,-0.527149,-0.79284,-0.0169579,-0.558029,0.577726,-0.0357664,0.815514,0.0107036,0.764909,0.231388,0.315772,-0.119068,0.656794,0.101942,0.142221,-0.495414,0.694074,0.384081,-0.263916
Q09909,-0.0513031,-0.0185729,0.12624,-0.104061,-0.131787,-0.100653,-0.146695,-0.007956,-0.109363,0.122172,-0.0234694,0.181096,-0.00680253,0.170462,0.0491393,0.064445,-0.0235847,0.10913,0.0211289,0.0105821,-0.081953,0.126441,0.097474,-0.0452683
Q9UT21,-0.0244946,0.00336822,0.110056,-0.0827904,-0.120772,-0.0899471,-0.125054,-0.0208128,-0.0797454,0.082097,-0.00934701,0.119579,0.0016526,0.105578,0.0437533,0.0565472,-0.00865448,0.11397,0.0215342,0.00855057,-0.0997636,0.125895,0.0774902,-0.0217221
P87061,-0.231884,-0.0410687,0.890186,-0.732251,-0.863442,-0.704441,-1.07595,-0.0227187,-0.817992,0.78237,-0.0568728,1.08861,0.0394651,1.02772,0.27499,0.43705,-0.166555,0.876367,0.128101,0.171644,-0.685358,0.961732,0.551371,-0.30709
Q9P6K0,-0.0189926,0.00792773,0.0788411,-0.0570577,-0.0811552,-0.0940178,-0.109203,-0.0121876,-0.063244,0.06538,0.00820949,0.120164,0.0226124,0.10217,0.0456491,0.0370694,-0.0229993,0.106387,0.0168246,0.0336196,-0.0551414,0.0898463,0.0500575,-0.0378695
O74555,-0.0270589,-0.00192405,0.120278,-0.117629,-0.142941,-0.11281,-0.147505,0.00697239,-0.103478,0.125974,-0.00346653,0.174783,0.022092,0.144045,0.0545052,0.0594321,-0.0131407,0.122645,0.0042471,0.0244085,-0.0999267,0.140607,0.0640511,-0.0314521
O43071,-0.11961,-0.0291956,0.479872,-0.387758,-0.464905,-0.386962,-0.553513,0.00285228,-0.436004,0.406104,-0.0291909,0.603735,0.00989847,0.573958,0.158728,0.22629,-0.0922613,0.47781,0.0916989,0.109124,-0.370085,0.496402,0.300933,-0.185544
Q7LL14,-0.0412283,-0.0082351,0.133167,-0.122727,-0.118834,-0.120602,-0.1592,0.00221906,-0.120757,0.120651,-0.0219721,0.176147,0.0097139,0.180264,0.0550881,0.0751455,-0.0219102,0.134786,0.0448847,0.0497969,-0.111224,0.153882,0.0724296,-0.0625602
Q10164,-0.0532274,-0.0163569,0.150369,-0.124819,-0.126614,-0.106492,-0.180177,-0.0116893,-0.133759,0.108104,-0.00836554,0.177879,0.0276081,0.154855,0.0398633,0.0858602,-0.0262506,0.124923,0.0206306,0.0222597,-0.10466,0.173095,0.0939565,-0.0603844
Q9USR3,-0.0219944,-0.00993386,0.101036,-0.0819256,-0.111336,-0.0720865,-0.106436,0.0158937,-0.0756171,0.0837199,0.0117861,0.106743,0.00745504,0.13979,0.0356704,0.0569458,-0.0307844,0.0882635,0.0196006,0.0109852,-0.102949,0.119679,0.0579083,-0.0458659
