gene,dim1,dim2
P32480,-0.0666516,0.653831
P40454,0.0685568,0.388922
P31385,0.00782992,0.277057
P53080,-0.154722,0.176172
P41835,-0.0415203,0.421156
P40577,-0.190399,-0.0839045
P12887,0.232165,0.3899
Q12223,0.0487347,0.485715
P40492,0.137693,0.0016663
P24868,0.0641467,0.48814
Q04493,-0.150844,0.513673
P23594,-0.05121,0.108907
P38953,-0.134527,0.516324
Q03944,0.108225,0.534161
P53064,-0.0713906,0.461308
P24309,-0.0774519,0.0637768
P38886,0.127059,0.502393
P38207,-0.199526,0.161167
P28263,-0.165075,0.136313
P22516,-0.238338,0.471167
Q06675,0.178339,0.453463
Q12152,0.101771,0.210942
P32353,-0.117843,0.412112
P26793,-0.191993,0.377751
P32807,-0.0420283,0.174085
P19158,0.0732223,-0.0451094
P52490,0.0911411,0.321086
O60200,-0.219645,0.101918
P06778,-0.241218,0.0874281
O13563,0.000306548,0.359865
P33202,-0.091442,0.457614
Q03375,-0.0769953,0.0469344
P06843,-0.178831,0.454489
Q00582,0.0519505,0.321269
Q01080,0.10727,0.20578
P50110,0.0642104,0.212737
P38907,-0.0638261,0.429722
P38794,-0.00506433,0.277152
P40565,0.120575,0.336415
P22214,0.191679,0.231466
P46995,-0.260575,0.170006
Q04437,-0.201389,0.607945
P40957,0.230504,0.242218
P33441,-0.195133,0.321567
P32447,-0.146623,0.289621
Q06810,0.0698534,0.447733
P53280,0.167074,0.426405
P46944,0.0409694,0.237959
Q03661,-0.16175,0.224988
P33411,0.00387897,0.456152
Q01477,-0.123958,0.746361
O13539,-0.0393166,0.19602
Q03673,0.173895,0.177994
P07276,0.226312,0.428629
P12954,-0.00785965,0.405617
P32944,-0.200123,0.491064
P13099,-0.0723508,0.148983
Q04659,-0.20239,0.312112
P14242,-0.170019,0.481552
Q08387,-0.208865,0.48244
P38789,0.204975,0.0876463
Q12433,-0.20469,0.302343
P50102,-0.243657,0.393738
P39705,-0.017604,0.392691
P47017,0.159127,0.416292
P46674,-0.181457,0.557399
P32829,-0.134913,0.252241
P40005,0.170898,0.327019
P43593,-0.207688,0.679879
P48565,-0.136671,0.325711
P25644,0.105898,0.0847095
P39001,-0.254755,0.0190859
P39538,0.148973,0.63821
P40856,-0.12797,-0.00772271
P25302,0.0749756,0.464703
Q08562,-0.118384,0.50524
P06777,-0.179228,0.229944
Q08581,-0.218548,0.12138
P40072,0.0120064,0.0982311
P25846,-0.225045,-0.0168677
Q12495,0.0565617,0.0985355
P53246,-0.0302457,0.309861
Q02884,-0.0850582,0.284398
P25037,-0.1689,0.429815
P35209,-0.025983,0.418697
P33306,0.0690136,0.100767
P29539,-0.0632461,0.340083
P38903,0.0777668,0.491148
P38732,0.0977783,0.297423
P38633,0.035124,0.287481
P17119,0.0653914,0.260578
P53330,-0.227643,0.697466
Q03162,-0.0151838,0.164285
Q04149,-0.0418433,0.237206
P32790,-0.251724,0.230336
P25638,0.12975,0.246499
Q01722,0.0176385,0.0937576
P38351,-0.0166489,0.324292
P53900,0.219358,0.238359
P32804,0.0936199,-0.0181262
P23638,0.0801317,0.622495
P12689,-0.0567261,0.293679
P18480,0.077919,0.178555
Q05854,0.0723435,0.254578
Q12083,-0.226359,0.148913
P36017,0.0186458,0.444454
P42948,0.0697733,0.483085
Q12124,0.0560638,0.432052
Q06324,-0.178209,0.139332
P40963,-0.0478245,0.439751
Q12027,-0.228016,0.286043
P15801,0.00394932,0.117646
Q12086,-0.140951,0.490494
P28743,-0.0202992,0.261532
P47050,0.0743262,0.490698
Q12341,-0.114009,0.0994985
P40567,0.0942926,0.369326
P30283,0.242761,0.110064
P40562,0.174855,0.720348
P09932,0.095086,0.451255
Q99326,-0.0157116,0.388348
P40059,-0.0730874,0.346873
P36088,-0.0223227,0.00703879
Q08119,0.17854,0.473105
P04786,-0.170248,0.55494
P35207,-0.0647862,0.104015
Q08923,0.104066,0.506732
Q02793,-0.19883,0.380011
P20438,0.183662,0.519364
P47113,-0.109602,0.354629
P40151,0.0236987,0.422743
Q02796,-0.236933,0.236275
Q03067,0.119281,0.0862294
P31244,-0.220901,0.620396
P38766,0.194982,0.445285
Q05471,0.184943,0.397235
P42838,-0.229286,0.120274
P19454,-0.0764391,0.130893
P0CX48,0.106087,0.41054
P11632,-0.0156126,0.242745
Q12509,0.0656944,0.263418
Q08490,-0.212512,0.286041
P38305,0.22844,0.548713
Q06144,0.15442,0.510785
Q12311,-0.210974,0.219342
P53840,0.119169,0.300065
P39110,0.132838,0.416569
P53187,-0.150455,0.16961
P38877,-0.10144,0.532347
P28707,-0.0130975,0.246188
P50947,0.111243,0.201572
Q04383,0.177651,0.358316
P53150,-0.227481,0.482095
P24871,0.0634142,0.274208
P00445,0.223916,0.335666
Q03833,-0.118979,0.231535
P32863,0.242958,0.504554
P14737,0.0661725,0.607978
P40340,0.0856428,0.505351
P07273,-0.162495,0.359267
P16387,-0.143612,0.238663
P38177,0.0160119,0.265949
Q03656,0.0337642,0.076315
P40164,0.146729,0.182367
Q08561,0.187521,0.336426
P32489,-0.199706,0.196639
P25559,-0.110156,0.453016
Q03529,-0.211388,0.0637104
P29311,0.222973,0.230087
Q06697,0.0355771,0.282393
P40208,0.126702,0.334884
Q07963,0.250893,0.443632
P06838,0.221613,0.226694
Q03834,0.199393,0.128974
P32445,0.125188,0.0342646
P39995,0.244708,0.170266
P53973,0.0278465,0.388635
P53687,-0.153236,0.352369
Q07980,0.0718593,0.247128
P53552,-0.0386485,0.448302
P38187,0.106584,0.296186
Q06337,-0.0787602,0.261078
Q06211,-0.210049,0.505021
Q04740,-0.0401008,0.216165
P25659,-0.19545,0.176182
P53829,-0.133511,0.301517
Q12021,-0.249436,0.0329221
Q12321,-0.120723,0.138228
Q01476,0.111781,0.453049
Q12318,-0.0690987,0.369352
P40509,0.221716,0.171928
P38801,-0.161191,0.4574
Q06148,-0.124765,0.336852
P39956,-0.102611,0.354098
P24276,0.221675,0.194891
Q04199,0.0282508,0.525315
P24719,-0.147553,0.00176493
P38326,-0.25714,0.332529
Q03085,0.0453874,-0.00514042
P38922,-0.0664842,0.51952
P50078,-0.241376,0.482213
P40532,0.041256,0.147851
P11633,0.108046,0.188869
Q06706,0.0373429,0.204396
Q12150,0.00618873,0.364143
Q05543,-0.0227986,0.225603
P47019,-0.0371608,0.0543935
P53096,0.183795,0.350941
Q12214,-0.00528959,0.242965
P06169,0.172154,0.311121
P25293,-0.132019,0.215844
Q12107,-0.0681499,0.326106
Q06032,0.161794,0.240228
P38257,-0.0980104,0.278734
P19812,0.212708,0.13499
Q01448,-0.233284,0.365205
P33323,0.212734,0.163971
P53691,0.162148,0.440427
Q07458,0.156577,0.5554
P40453,-0.00356355,0.333284
P34223,-0.0267526,-0.010081
P32849,-0.129756,0.273465
P34244,-0.180876,0.445977
P24869,0.149096,0.371836
Q12161,-0.0459864,0.332959
P38699,0.178166,0.123401
Q06707,-0.0959951,0.320651
P40958,0.0411009,0.168202
P45820,0.214119,0.368079
Q07794,-0.220963,0.633097
P47167,0.152834,0.370202
Q08972,-0.180213,0.481806
P39073,-0.0987397,0.472922
P38255,0.0370611,0.570377
P50108,-0.0603135,0.29474
P09959,0.17674,0.0498792
P23748,-0.0762121,0.271785
P38634,-0.237036,0.360391
P40466,0.244624,0.23942
P53551,-0.213654,0.599007
P38193,-0.0339873,0.22683
P53942,-0.192832,0.260342
P53686,0.113395,0.509588
Q12461,0.165364,0.360264
P39706,-0.113178,0.24882
P38254,0.00912342,0.450461
Q08773,-0.102095,0.212717
P53741,0.215734,0.289915
Q99344,0.0264129,0.43113
P33892,0.03098,0.132154
P89114,-0.00763391,0.450109
P40356,-0.0734887,0.159326
Q06188,-0.100141,0.380644
Q12529,-0.242782,0.188076
P48563,-0.043289,0.115402
Q01454,0.108461,0.448375
P12611,-0.00457477,0.385358
Q02159,0.199863,0.476034
P43573,-0.120055,0.49894
Q99359,0.0550737,0.35582
Q07532,0.0490537,0.214973
