gene,dim1,dim2
O94627,0.0151696,-0.000492097
O74456,-0.157996,0.0539856
Q9P7R5,-0.0621364,-0.106072
P50531,0.135892,0.187261
Q10169,-0.138488,0.107505
Q8X1T0,0.0633688,-0.0781936
Q9USL4,-0.145177,0.220353
Q9Y818,-0.180663,0.146497
O94308,0.00257067,0.105442
O14334,0.225774,0.287549
Q10236,0.199595,0.299532
Q7Z9H9,0.265287,0.225336
O94347,-0.0935839,0.0367282
O42646,0.329206,-0.0890721
O42874,-0.193938,0.177878
Q9USP1,0.306822,0.301083
O60139,0.19812,0.27622
P56523,-0.00296052,0.230215
P36632,0.281318,0.2416
O94256,0.281636,0.163193
Q9USX9,0.158163,-0.0729339
P48003,-0.0620127,0.274582
Q10103,0.0656119,-0.118208
Q9P790,0.133602,0.0776937
P87313,-0.128725,-0.140991
O43083,0.111652,-0.0245651
Q10317,-0.182327,-0.08107
Q9UUK1,-0.0314077,0.280805
O74860,-0.0562106,0.262683
O14227,0.183937,0.227243
O74814,0.302926,0.0363881
Q9HGM8,0.121837,0.096866
Q9P6Q2,0.0905887,-0.0644903
P40381,-0.0956382,-0.00103459
P07799,0.236757,0.256239
P42657,0.0690078,0.0256267
O14161,0.07883,-0.0270013
Q9HFF5,0.0268621,0.0661149
O13641,0.0426117,0.329701
P40389,0.173693,-0.101556
O14139,-0.077843,0.331311
P79011,0.196261,0.287936
Q09732,0.00190049,-0.0350246
Q10242,0.0488558,-0.0880152
Q9UT39,0.108303,-0.133321
Q9Y7N2,-0.0247309,0.0507578
Q9P3A8,0.227697,-0.0874363
Q9USN7,0.205828,-0.105199
Q9UTN2,-0.155008,0.0324388
O94396,0.29789,0.266809
O13870,0.109375,-0.103519
Q9P797,-0.119248,0.0836425
Q10213,0.200771,-0.00914383
O94312,0.0813902,0.157853
O14338,-0.0458577,0.222407
Q10435,0.163038,0.0213317
Q9UT52,-0.105954,0.0529763
Q9Y7N0,-0.0636701,0.102761
Q9USW9,0.135167,-0.0607234
O94545,0.193977,0.190352
O74515,0.282914,-0.0740494
Q10319,0.228344,-0.0626037
Q11004,0.0182557,-0.0581912
O94717,0.0119826,0.0173243
Q9UT35,0.0624089,0.160253
O74767,0.209019,0.0803676
Q09737,0.288155,0.0641249
O59753,-0.134592,0.309571
Q10086,0.21266,-0.0514205
P24339,0.0607912,0.263352
O94235,0.146677,0.212762
P25009,0.171337,-0.172889
Q9P6S5,-0.159684,0.127039
O60161,-0.0012618,0.118886
Q09748,0.261543,0.0736654
O74965,0.104686,0.0518781
O74999,0.161036,-0.00743326
O14127,0.0939002,0.213435
P87119,0.247292,0.27656
Q10321,-0.125987,0.0766344
P87244,0.0354245,0.231662
Q9UTR1,0.328013,0.183612
O74834,0.129208,0.148444
P41412,0.308146,-0.0503992
O94529,-0.0945728,0.0547639
O94279,0.0729203,-0.11004
O59763,0.231518,0.276581
O74381,0.276388,0.152732
Q09683,0.344593,-0.065088
O94331,-0.0416133,0.273376
O43023,0.168895,-0.0114862
Q09866,0.178207,-0.180249
O13719,0.233093,0.146875
Q9P7S5,0.0718763,-0.0581411
O13298,0.15084,0.172263
Q10322,-0.124889,-0.110797
Q9P6L2,-0.0444208,0.113993
Q9UUJ7,-0.0699074,0.267014
O74324,0.123792,-0.0578289
O42845,-0.0338067,-0.0542359
Q9UTA7,0.00482179,0.310824
P36625,0.0496213,0.237406
O59751,0.298872,0.0790006
Q9UUH3,-0.132597,-0.0448428
P54280,0.0619031,0.0915739
Q9HEQ9,0.232677,0.139949
Q9C103,-0.113153,0.309344
Q76PD2,-0.0701342,0.19157
O14306,0.154656,0.200213
O74856,0.117962,0.0171361
O74863,0.0673545,0.120045
Q7LKV1,0.317156,-0.0501775
Q9US25,-0.0277054,-0.0615392
P87236,0.153871,0.207802
O94454,0.109286,0.105735
O94247,0.197223,0.113323
O94271,-0.0598861,0.184742
Q09884,-0.0157918,-0.156542
O60059,0.0719976,0.280412
Q7Z991,0.268182,0.351958
Q9P6R1,-0.0219321,0.322315
O13820,-0.147131,0.0246388
Q10256,0.32984,0.25778
Q9USK2,0.20405,0.151929
Q9P6R2,-0.0473092,0.0990299
Q9UTE5,-0.124498,-0.0464584
P49740,-0.0613446,0.266436
O13977,0.107158,0.193975
O94332,0.0805802,-0.133792
O94703,-0.0524759,0.0553552
Q9HGK2,-0.194592,-0.0949555
Q9UT96,0.0858968,0.247512
O94266,0.131262,-0.167975
P87297,0.165608,-0.135714
O42858,0.0769377,0.141727
O13987,0.0818892,0.0702903
Q10325,-0.071868,0.144801
Q9URU9,-0.151632,0.222005
O74465,0.113282,0.0645897
Q09170,-0.0934669,0.139822
O43066,0.0841385,0.0023629
Q9C0W2,-0.0095135,0.257021
P40384,-0.134415,0.33444
W6JQK2,-0.010398,0.0525391
P28758,0.0875079,0.219748
O59704,0.106494,0.0677764
O14327,0.19287,0.106513
O42634,0.0168837,0.146787
O74350,0.232694,-0.115906
O14157,0.260918,0.143489
Q9C0Z0,0.0335337,-0.0985741
P09202,-0.00780585,0.0401432
Q10143,-0.10618,0.159284
O36016,0.119195,0.0565475
O60125,-0.113587,-0.0617759
O74500,0.0156638,0.313447
O94457,0.287795,-0.0689719
O42861,-0.14471,-0.153277
Q9USL1,-0.00675759,0.237117
O74635,0.328743,0.30678
Q9HGP4,-0.0507369,0.233172
Q9P6H9,0.000982465,0.323031
O94728,0.143861,0.122999
O94455,0.208673,0.160447
O43077,0.0135771,0.0324671
O74920,0.118047,-0.0474112
Q9P7Q7,0.0195333,0.321892
Q9P7X0,-0.115287,0.254807
Q10481,0.265415,0.0790887
Q9P7T4,0.221868,0.239441
O74315,-0.121331,0.131351
Q9US53,-0.0219647,0.301512
O74405,-0.128327,0.179607
P87240,-0.15767,0.285405
Q92383,-0.101505,-0.135355
O59759,-0.064092,0.172117
O74827,0.122045,-0.107783
O74845,0.011997,-0.157334
O14332,0.257677,0.0662051
O74560,-0.047735,-0.0961983
O14307,0.11396,-0.159918
O74861,0.255295,0.289404
O94387,0.0178041,0.233981
Q9Y825,0.10537,-0.134826
Q10189,0.0876735,0.181213
P22193,-0.0815875,0.191655
Q10423,0.255687,0.118184
O94630,0.280458,-0.141643
P30821,0.243239,-0.0833169
O13734,0.223831,-0.0146064
Q10297,0.0296383,-0.0830589
Q9HGM2,-0.00627109,0.32248
Q9UTD4,0.234447,0.27734
Q9UTL9,0.316777,-0.0983477
Q9Y7K6,0.0992538,-0.0385536
O13765,-0.164688,-0.0210995
Q09873,-0.0632816,-0.15384
Q10077,0.0120986,-0.00812814
Q9UTG8,0.159498,0.253641
O74363,0.0609923,0.351688
O74957,-0.11833,0.0230922
Q09819,-0.0948866,-0.0698867
O94241,0.208291,0.22665
Q9Y815,0.322168,0.0506819
O94731,0.193417,0.264421
Q9P7G6,-0.152265,-0.18833
P26306,0.0463512,0.249349
Q10277,0.302317,-0.10176
Q09792,-0.0588393,0.031138
O36030,0.211108,0.0655272
Q09772,-0.143257,0.17298
Q10414,-0.141845,-0.0845874
O59797,0.0450622,-0.0277732
Q09786,0.0235415,0.30645
O13776,0.268221,0.21563
O13983,-0.167342,0.215164
O94275,-0.0327321,0.31548
O60016,0.0751418,0.295468
O74919,-0.0779455,-0.00145455
P79065,0.0307742,0.298499
Q9P7I8,-0.173698,0.228259
Q1MTR1,0.288576,-0.00242628
Q9Y7Y5,0.0131968,0.231644
Q9USL6,0.162926,-0.101975
O42929,0.194754,0.00339661
O94714,0.0763369,0.25732
O94289,0.293994,0.0574201
O36023,0.272228,0.307123
Q9HE09,0.302305,0.0192337
O94687,0.0392685,-0.199422
O43004,0.112242,-0.125015
O14116,0.287888,0.130955
O60104,-0.0308954,-0.141803
Q09849,-0.175521,-0.0597229
O94709,-0.107502,0.238752
Q9UTI1,-0.166108,0.0149195
O59811,0.283566,-0.0226952
O60109,0.0100757,-0.181085
Q10150,0.0670474,0.07953
O43001,-0.0856603,-0.0574754
Q9HE05,-0.149537,-0.0181084
P87308,0.283947,-0.043885
Q9UST9,0.142622,0.151444
O59672,0.270469,0.000761995
Q9P370,0.284455,0.0104948
P40236,0.0278437,-0.107618
Q9P3U1,0.221482,0.290607
Q9UTB3,0.268254,0.232055
Q9URY1,0.306108,-0.0390843
O42996,-0.0429365,0.142808
P87057,0.0158221,-0.016479
O94756,0.0777845,0.0355277
Q09173,-0.0168769,0.201536
O14135,-0.0669109,0.0716167
O13606,0.104723,-0.0485602
O13951,0.26099,0.0768563
P78817,0.273167,0.261361
O94606,-0.10902,0.246357
Q10477,0.0508332,0.0544577
Q9P7Y4,0.014068,-0.0158439
O74842,-0.123145,0.327095
O14214,-0.121641,0.196213
Q9Y703,-0.0847346,-0.0340638
O74805,0.186349,0.134062
Q9Y7R4,0.275882,0.103344
Q09329,0.0913647,0.293109
Q9HDU2,0.143264,0.0932166
O14081,0.204562,0.133081
O94503,0.241868,-0.0928107
O94663,-0.096785,-0.0734146
Q9P6Q1,0.106651,-0.0106655
P28829,0.087835,-0.0227559
P04909,0.20849,0.155687
O94317,0.0749091,-0.0370558
Q9US07,0.043227,-0.14269
P39750,0.105884,-0.0639258
O74508,-0.0537926,0.117973
O14108,0.205647,0.132926
O14147,0.192282,0.142221
Q9C1X4,0.187955,-0.0521331
Q1K9B6,0.284598,0.293431
Q92368,-0.184649,0.209259
Q9P6S3,0.164504,0.0508881
Q10215,0.0700201,0.198899
O60137,0.153236,0.242418
O14262,0.116562,0.28753
Q9USU8,0.136486,0.103237
Q9USS2,0.169197,-0.171935
O14224,0.296422,0.120733
Q9P794,0.162464,0.221128
Q9P7W6,0.270227,0.224969
Q9P3U9,0.24241,0.0901481
O60070,0.300689,0.333236
O94534,-0.0699776,0.283472
Q09895,0.244508,0.226339
Q09150,0.0474075,-0.065977
O42841,0.00207235,0.101369
O14118,0.0231478,0.270784
O13685,0.328263,-0.0146916
O43049,0.110137,0.0860394
O94269,0.203744,0.0370456
O13819,-0.195614,-0.121669
Q09738,-0.0299273,0.0902167
Q9P7I3,0.104129,0.1449
Q9US60,0.0754921,-0.154815
Q9P3U0,0.025974,0.234612
P87127,-0.153019,-0.0375473
Q9UUK4,-0.0870363,0.241225
Q9P7S6,0.185703,0.0614757
O13889,0.102794,0.0764724
O13839,0.302418,0.304663
Q9Y7Z1,0.246942,-0.0906242
Q9Y7K5,-0.151009,0.353348
Q09831,-0.120536,0.0795216
O13846,-0.00479424,0.0713859
O14210,-0.146812,0.0040229
O60183,-0.0659175,0.142926
Q09832,-0.160173,-0.112063
O74759,0.127184,-0.171111
O94640,0.342767,0.122118
Q9UUI7,-0.178365,0.048365
O74910,0.155488,-0.0010416
O94364,-0.0564211,0.0090942
O94451,0.269271,-0.0735093
O94689,-0.122497,-0.106888
O13838,0.282731,0.0723842
O74502,0.111451,0.222073
Q9C0U6,0.130048,0.281547
O43085,0.198139,0.0985212
Q9HGN2,0.107243,0.176233
P87311,0.241547,0.192371
Q9Y7R7,0.254131,0.293566
O94307,0.218865,0.330433
Q92348,-0.143946,0.283075
P28706,0.256189,0.236837
Q1MTQ1,0.202026,0.0524117
O74736,0.305644,-0.0732853
Q9UTH9,0.098856,-0.124272
Q9P7H8,-0.134366,-0.051087
O94526,0.0334664,0.203886
Q9USR6,-0.0235237,0.0336555
Q10492,-0.00395671,0.0571638
O14326,-0.156759,0.309678
Q9UUH2,0.153045,-0.145381
O60145,0.12959,0.291976
O74503,-0.0711781,0.161884
P04689,0.166996,-0.0426116
O59721,-0.091663,0.00364226
O14023,-0.100504,0.2372
O74729,-0.169146,0.218789
P36626,-0.175687,-0.0578816
O74964,0.28569,0.0467543
Q9Y7V2,0.226098,0.152614
O94405,-0.0689992,0.252501
Q9US45,0.0528795,0.277013
P53695,-0.0743792,0.0769023
O59801,0.0949544,0.125516
Q96TL7,-0.00306057,0.316692
P09988,0.275143,-0.0207884
O42993,0.0788266,-0.112758
Q10056,-0.0389503,-0.0782104
O74518,-0.0458206,-0.15925
P40385,0.0486518,-0.0840675
P38938,0.274678,0.0992866
Q9P793,0.206,0.307648
Q09696,-0.156317,0.0551085
Q09948,-0.0232802,-0.0110304
O14417,0.240677,-0.103223
O74804,0.295844,-0.0811026
O94602,-0.132614,0.186587
Q09116,-0.0794616,0.198721
Q10438,-0.0828913,-0.0173005
Q1MTQ5,-0.0264914,0.133782
Q9UTH1,-0.0876825,-0.147216
Q09690,0.300879,-0.160316
Q9UR24,0.00282619,-0.00504792
Q9UT83,-0.0667242,-0.185148
O74748,0.148893,0.224502
O94490,0.233006,-0.0274222
Q10332,-0.0234659,0.336397
Q9HDY1,0.227703,0.0909563
O60152,-0.0613343,0.267895
O14098,0.209104,-0.105071
O13731,-0.0236565,0.307282
O59762,-0.0473897,0.045657
Q9HDZ7,-0.169962,-0.0243659
Q9USG9,0.251609,-0.0700226
Q8WZK4,-0.0760082,0.0940784
O42666,0.158034,0.305489
O59669,0.263188,0.120417
O42868,-0.0619895,0.34705
O43017,-0.119989,0.142897
Q9P6P3,0.0523824,0.0806363
O74922,0.119543,0.251478
O74738,0.247135,0.0895725
P36616,0.178497,0.258922
Q9HGL3,0.0559417,-0.103932
O42948,-0.0312631,-0.150008
P36607,0.129632,0.0830288
O74467,0.0201231,0.0901707
P87294,-0.0794406,0.365626
Q9P6M0,-0.173384,0.146966
O94474,-0.0814075,-0.0235721
Q09907,0.286827,-0.0990674
O14285,0.212486,0.211511
Q10343,0.191603,-0.180371
A0ZWU1,-0.0740546,-0.159712
O14350,0.197466,0.240326
O74630,0.0277717,0.0826997
Q10668,-0.192375,-0.0934525
Q9UT85,0.0832241,0.171523
O14099,0.203057,0.0731039
O14450,0.116095,0.13037
Q9P795,-0.170991,-0.0360761
Q9P7K6,0.032405,0.104217
Q9USQ6,0.22486,0.206109
P78955,0.0279505,-0.1345
O94620,0.288997,0.0821352
O14342,0.293658,0.325691
O13781,0.0463744,-0.153248
Q9Y884,-0.0802545,0.161761
Q9P3W2,0.192832,0.0231448
O13986,-0.00508344,-0.117335
P41893,-0.132175,0.19995
P78789,0.286553,-0.0803169
Q09699,-0.0530494,0.0381518
O74382,0.242962,-0.0474073
Q9UR05,0.14256,-0.177242
Q9P7P2,0.167817,0.182828
Q9UUB6,0.142891,-0.062198
P17608,0.210626,-0.11199
P87314,0.280195,0.277321
Q9USP0,-0.122177,0.107496
O94281,0.120688,0.313343
Q09775,-0.153676,-0.130437
O94561,0.13186,0.327207
Q9UUF3,0.0154823,0.133154
O13923,-0.027842,0.120849
Q92372,-0.0127294,-0.0743671
Q9P3U8,-0.00789887,0.256371
Q09746,-0.0774725,-0.148022
O13985,0.281794,-0.0724521
Q9UT23,0.226263,0.14035
Q9UTB1,-0.000386871,0.00095516
Q00472,-0.131719,0.223181
O94588,-0.121607,0.0128389
Q09189,0.136605,-0.0672706
Q10113,0.0636595,0.336028
O94495,0.0151405,0.0014415
Q9P7H4,0.2708,0.145723
O13682,0.245553,0.340003
Q10362,0.278077,-0.0828494
O74897,0.309137,0.185758
Q9UTC5,-0.0498694,0.0368207
O94573,0.0587294,0.0488535
O13911,0.199412,-0.164724
O14145,0.19065,0.267209
O42941,0.240782,0.283071
Q09172,0.0251173,0.254203
O42991,-0.122672,-0.0383218
Q9USQ1,0.140704,0.00487062
O74191,-0.137843,-0.0217773
O13762,0.0183974,-0.10249
P49777,0.226589,-0.0482539
Q9P7M3,-0.00781226,0.285664
O59835,-0.118873,-0.126766
O94527,0.0672231,-0.0909295
Q92353,0.0568418,-0.0864793
Q9C0V7,0.037869,0.09891
Q9P6L6,0.0399342,0.151508
O74874,0.124974,-0.081687
Q9UT79,0.0793863,0.0294149
O60136,0.137073,0.00548902
Q9UTC9,0.0939635,0.271351
O94462,-0.184892,-0.0990797
P49373,0.238775,-0.149322
Q1K9C4,0.0331107,0.169136
O42860,-0.0968746,0.182675
Q7LKZ5,-0.134684,0.115703
Q9P7D3,0.0931013,0.0475954
O94603,0.149144,0.0678964
Q9USN8,0.0879989,0.157772
Q10171,0.0591466,-0.0678185
Q9USU3,0.246936,0.205002
P87074,-0.000796765,-0.0514426
O59742,0.105848,0.0520079
O94273,-0.0885622,0.123477
Q9P7D2,-0.146573,-0.0907201
O13807,-0.0680923,-0.157034
O42905,-0.0112732,0.233857
O14100,-0.129375,-0.0794377
O60117,0.270477,0.166689
P09322,-0.0331865,0.265272
O13868,0.177141,-0.000504829
O14213,0.185448,0.26006
O13921,0.262605,0.0826741
O59702,0.139289,0.261433
Q10428,0.26393,0.120877
O94400,0.16835,-0.0836872
Q10364,0.118442,0.070581
P40386,0.00219508,0.13019
Q96WV9,0.127618,-0.0626263
Q9P7H9,0.0112224,0.066776
O94376,-0.0533502,-0.0568124
Q1MTR5,-0.16425,0.33423
Q10426,0.22385,0.219211
Q10446,-0.0377997,-0.0543141
O13800,-0.125144,-0.134269
O13836,0.150619,0.195576
Q9USU7,-0.12954,0.245328
Q9UUK2,0.273001,0.112796
O94324,0.0875535,0.201047
Q92398,0.140071,0.164163
Q92462,0.0444853,-0.0817192
O59676,-0.132135,0.133042
O94533,-0.163035,0.224447
O74789,0.130454,0.102663
O94487,-0.115082,0.200937
Q9C107,-0.0697034,0.211254
Q9P6N2,0.00629743,0.300031
O74427,-0.207968,0.02916
Q9C0Z3,0.150715,0.0423287
Q9UUL2,-0.0883029,-0.131525
Q9Y7J1,0.0678276,-0.0336664
O74385,-0.163811,0.0807595
O60072,0.185566,0.209185
Q10210,-0.0581241,0.163602
O13453,0.00603009,0.253297
Q9HE02,0.0964918,0.0924399
O13984,0.246998,0.049503
Q09731,-0.124861,0.206024
O74757,-0.15285,0.199744
Q9P7W0,-0.0632221,-0.0464167
P87175,-0.0893667,0.313795
O94259,-0.188585,0.206838
Q10175,0.146725,0.0951634
O94394,-0.0537662,-0.134031
P78759,0.130037,0.319376
O94480,0.253108,0.244896
Q9P7S3,0.0949832,0.19127
