Gene A	Gene B	Score	Category
Q9HFF5	Q09725		SL
Q9HFF5	P30776		SL
Q9HFF5	P30776		SL
Q01112	O13928		SL
O13682	P08096		SL
O13688	Q4PIR3		SL
O13688	Q09811		SL
O13688	Q9USX3		SL
O13688	Q02099		SL
O13688	P87231		SL
O13688	P87231		SL
O13688	Q9Y7U4		SL
Q92462	P06652		SL
Q10434	P78929		SL
Q10434	P39825		SL
Q10434	Q09196		SL
Q10443	Q09822		SL
Q9UTN3	O94751		SL
Q09739	P50531		SL
Q09685	P39964		SL
Q09683	P39750		SL
Q09683	Q02099		SL
P0CU17	P41878		SL
P0CU17	P50524		SL
O13286	P01129		SL
O13286	P07527		SL
O13286	P07527		SL
P50531	P36602		SL
P50531	P87324		SL
Q9UTJ8	P39750		SL
Q9UTJ8	P53695		SL
P87027	Q09822		SL
P87027	P41892		SL
P87027	P36589		SL
P87027	O74473		SL
Q9P3A7	P21135		SL
Q9P3A7	P18296		SL
P41410	P50531		SL
P41410	P04551		SL
O13728	P39825		SL
O13728	P10989		SL
O13728	Q9USI6		SL
O13777	Q09808		SL
O94450	P40377		SL
O94451	P87231		SL
P87227	Q9HDZ6		SL
P87227	Q9P6S5		SL
P87227	Q9C0W0		SL
P87227	O94244		SL
Q4PIR3	P08096		SL
Q4PIR3	Q10337		SL
P40995	Q09763		SL
Q9P7H1	P87027		SL
Q9P7H1	P87027		SL
Q9P7H1	P50528		SL
Q9P7H1	Q09898		SL
Q9P7H1	Q09898		SL
Q9P7H1	P06652		SL
Q9P7H1	O60129		SL
Q9P7H1	P41892		SL
Q9P7H1	O60187		SL
Q9P7H1	O60187		SL
Q9P7H1	P36589		SL
Q9P7H1	O94360		SL
Q9P7H1	O74473		SL
Q9P7H1	P30776		SL
Q9US26	P87227		SL
Q9US26	Q10290		SL
Q9UR39	Q9P7T4		SL
Q9UR39	Q02099		SL
Q9UR39	P87074		SL
Q9UR39	P34208		SL
Q9UR39	Q09170		SL
Q9US25	O14139		SL
Q9US25	O14139		SL
Q9US25	Q9P793		SL
O13961	Q9Y7Z5		SL
O13961	P05219		SL
O13961	O59755		SL
P40383	O59801		SL
P10505	P41889		SL
P10505	O42971		SL
P38937	P41889		SL
P38937	P78972		SL
