gene,dim1,dim2
P47019,0.507312,-1.67546
P33202,0.492502,-1.75299
Q03388,0.347758,-1.81731
P18480,0.499454,-1.73356
P47171,0.320107,-1.81714
P47113,0.278185,-1.80639
Q03673,0.424188,-1.74863
P13902,0.601222,-1.69638
Q07794,0.253568,-1.80697
P33296,0.436398,-1.70306
P38849,0.215619,-1.79731
P16892,0.238719,-1.78763
P53840,0.207066,-1.82023
P33441,0.250824,-1.82606
Q08561,0.270841,-1.79929
P21651,-0.0312089,-1.83672
P04911,0.190132,-1.76136
Q01448,0.351643,-1.82223
P24868,-0.0382063,-1.86099
P02309,0.250376,-1.81223
P15731,0.190933,-1.79617
P34760,0.0396548,-1.86904
P53236,0.397106,-1.73572
P38890,0.534667,-1.72824
P54000,0.343741,-1.73129
P25454,0.266584,-1.77832
P14242,-0.0395576,-1.87023
Q04049,0.315819,-1.79114
P17214,-0.0172084,-1.84952
P22134,-0.0158812,-1.8386
P53687,0.18536,-1.78465
P40015,0.137386,-1.81995
P34223,0.529351,-1.69933
Q07442,0.571284,-1.71215
P40340,0.484881,-1.73569
Q12060,0.327206,-1.75377
Q12386,0.245848,-1.77138
Q01649,0.302467,-1.81366
P33300,0.376406,-1.74021
P52553,0.435152,-1.79287
O13539,0.409438,-1.77668
P40509,0.496324,-1.73303
P40072,0.283516,-1.75993
P53114,0.36935,-1.75102
P06777,0.273091,-1.80824
P53080,0.536632,-1.69359
P53192,0.3694,-1.73544
P53330,0.462155,-1.79692
P20433,0.552576,-1.73119
P53096,0.399602,-1.74308
P31380,0.262895,-1.82001
P38110,0.306094,-1.7825
Q05934,0.213394,-1.80289
Q12692,0.293442,-1.78497
P53741,0.31796,-1.80155
P38823,0.541092,-1.71466
P07273,0.397408,-1.81639
P26448,0.294019,-1.77539
P21691,-0.178504,-1.867
P09932,-0.0755644,-1.83955
Q03834,0.030762,-1.85476
P06779,0.440606,-1.74703
P46944,0.428546,-1.71537
P25588,0.31357,-1.79541
Q02796,0.208549,-1.86007
P39110,0.379236,-1.78384
P50947,0.362328,-1.80137
P50106,0.424579,-1.77026
Q04231,0.264671,-1.82602
P52490,0.396321,-1.77357
P38319,0.188945,-1.82231
P39962,-0.0418892,-1.83269
P48581,0.116287,-1.77616
P39538,0.397179,-1.73688
P22936,0.0628193,-1.83527
P38439,0.359769,-1.79466
P50275,-0.128123,-1.86662
P13365,0.175557,-1.84939
P46946,0.0239108,-1.82892
Q02908,0.324285,-1.78279
P25293,0.410441,-1.7728
P07347,0.37125,-1.78272
Q04089,0.279724,-1.83571
P46674,0.245654,-1.79561
P33892,0.444549,-1.74138
P06838,0.214264,-1.80843
P38197,0.340553,-1.71917
P39986,0.580139,-1.72346
P25343,0.343184,-1.7426
P39702,0.522588,-1.7277
P39995,0.133502,-1.78097
P47006,0.427424,-1.75307
P40060,0.200063,-1.79913
P32828,0.148788,-1.80097
P53086,-0.111558,-1.86585
P40356,0.231989,-1.75689
P22579,0.289491,-1.84066
P53061,-0.202488,-1.89119
P32944,-0.0169883,-1.80825
Q6WNK7,0.30183,-1.81531
P25559,-0.130871,-1.87393
P50111,0.123157,-1.79733
