gene,dim1,dim2
Q09173,0.167942,1.58752
O14023,0.0616722,1.67229
O94312,0.0768724,1.66605
P50531,0.235187,1.66898
P40386,0.338642,1.65645
P87313,0.184993,1.63694
O94331,0.0323107,1.64875
Q9P7H8,0.337433,1.6565
Q9UTE5,0.189524,1.61806
Q10175,0.140969,1.66224
Q09873,0.0344581,1.61962
Q9UT39,0.234204,1.64119
Q9USU7,0.113495,1.67048
Q10150,0.214914,1.64263
O74503,0.400575,1.56752
O59753,0.0928259,1.6559
O94394,0.215997,1.6026
Q10438,0.0345605,1.66151
Q9USP0,0.269789,1.59759
P87240,0.266149,1.66174
Q10236,-0.0950085,1.67675
Q10477,0.214797,1.6526
O94332,0.123291,1.60264
O94457,0.185474,1.66176
O94603,0.121763,1.7139
O94640,0.076815,1.67193
O74861,0.333081,1.57952
O74385,0.196877,1.65059
O42996,-0.0596549,1.60741
Q9Y7N0,0.133303,1.65058
O60125,0.139657,1.61606
Q09948,0.156101,1.63819
Q96TL7,0.212948,1.659
O42991,0.195047,1.65231
Q9P3W2,-0.0124429,1.59554
O74834,0.365008,1.63928
P36616,0.194351,1.65732
O42666,0.0949376,1.58027
Q09772,0.283339,1.61805
O94364,0.181926,1.65317
Q9USL1,0.258055,1.62722
O13641,0.0483718,1.60876
Q9P7H9,0.195055,1.63368
O94454,0.204347,1.65976
Q9UTN2,0.196638,1.6607
Q92372,0.0537106,1.61017
P39750,0.0559342,1.66819
Q9UTH1,0.248249,1.59359
O94534,0.229244,1.66306
O94526,0.322713,1.54662
O94756,0.00464009,1.60301
O74804,0.321095,1.63368
Q9Y7Y5,0.124979,1.67015
Q9C0Z3,0.0831506,1.59448
Q10319,0.226416,1.62759
Q9HEQ9,0.193586,1.57253
O94400,0.135315,1.66079
P40384,0.127952,1.67147
O14157,0.222549,1.58178
Q09683,0.114802,1.63815
Q09329,0.343161,1.60294
O94490,0.265752,1.65292
Q9HGP4,0.1241,1.64648
Q96WV9,0.0880851,1.59543
Q1K9B6,0.363721,1.64103
Q10077,0.0162789,1.66931
Q9C0W2,0.246153,1.64301
Q9P7W6,0.17163,1.65964
O94396,0.0750529,1.58482
Q9Y815,0.221357,1.63709
O14118,0.0326517,1.59385
O74759,0.0890612,1.64988
O74845,0.0794182,1.58267
O14147,0.341166,1.63719
Q9P6N2,-0.0309855,1.60255
Q9HGM8,0.105932,1.65449
O59742,0.215688,1.59457
O42861,0.354868,1.63254
P87244,0.0421616,1.59658
Q8X1T0,0.343352,1.64389
O59676,-0.0829252,1.6259
Q9P793,0.143611,1.63738
O59721,0.134972,1.57926
O94717,0.363246,1.64738
P28758,-0.0158546,1.58865
O74922,0.0779444,1.66052
O13606,0.285411,1.63275
Q9USG9,0.153882,1.66091
P78817,0.258767,1.67201
P78789,0.128684,1.63069
Q10143,0.0962565,1.67125
Q10317,0.234201,1.64377
O74738,0.251078,1.65107
P87311,0.299315,1.63473
Q92353,0.0742767,1.64531
O14098,0.310884,1.56249
O74502,0.0982176,1.64908
O42841,0.196662,1.57818
O74191,0.185711,1.65215
Q9US60,0.142395,1.66186
O59811,0.0372726,1.64288
P49740,0.0012544,1.59947
Q10435,0.107096,1.66361
P41412,0.0731026,1.6388
P09988,0.262352,1.64539
O74842,0.107284,1.65437
O94275,0.073116,1.64806
O14099,0.208649,1.57591
Q9P7D3,0.115023,1.5839
O14139,0.2355,1.62945
Q9Y7K6,0.271844,1.615
O36016,-0.00895207,1.65818
Q1MTR5,0.175803,1.5919
Q7Z991,0.273574,1.64739
Q09150,0.333196,1.63118
Q9UTH9,0.0683779,1.623
Q10215,0.284959,1.57029
O13836,0.199903,1.65325
Q9USQ6,0.0331541,1.59749
Q9HE05,0.223788,1.64018
O14224,0.08574,1.6219
Q09172,0.127789,1.58191
P49373,0.276548,1.62593
P07799,0.160711,1.63888
O13987,0.354616,1.64082
Q10113,0.124875,1.65767
O74757,0.154785,1.60519
O94451,-0.0111933,1.65702
Q9UTI1,-0.0981404,1.66003
P38938,0.118675,1.59861
P36632,0.258343,1.63641
Q9UUJ7,0.0200486,1.67613
O14342,0.153102,1.66186
O13819,0.10322,1.64227
Q9P7M3,0.261509,1.67154
O42874,0.0458199,1.59316
O74827,0.267129,1.64535
Q9P6S5,0.0417952,1.65698
O94588,0.326093,1.62302
P87294,0.236796,1.63484
P04909,0.263654,1.64199
O74518,0.335677,1.58391
Q9Y7V2,0.198718,1.64128
Q1K9C4,0.10722,1.60763
O94289,0.256593,1.64546
O59669,0.23348,1.65062
Q9USX9,0.297993,1.61659
O43023,-0.000744653,1.69414
P30821,-0.0112233,1.67247
