gene,dim1,dim2
O14206,0.0589458,-0.18289
P38789,-0.045722,-0.0741589
O94522,-0.0539002,-0.604204
P32832,0.183552,-0.698226
O74635,0.326045,-0.581357
P27999,0.268683,-0.649357
O43076,0.354769,-0.438997
P40486,0.26044,-0.550414
Q00711,0.0803649,-0.586838
Q9UTJ7,0.48181,-0.460188
P38765,0.414461,-0.418025
Q8NIL3,0.318651,-0.499363
P36125,0.0400202,-0.562749
P87155,0.442083,-0.503168
P33313,-0.0309253,-0.590347
O13754,0.213154,-0.498366
Q06680,0.252219,-0.478766
Q10429,0.0925785,-0.56335
P40957,0.27571,-0.464246
P87169,0.308076,-0.488322
P00401,0.251718,-0.483619
P07657,0.428557,-0.483792
O74855,0.346262,-0.439309
P25382,0.449142,-0.5355
P10081,0.126801,-0.525966
P47943,0.0441649,-0.675203
O13620,0.337784,-0.440794
Q06106,0.437456,-0.449892
P12385,0.504059,-0.424605
P79063,0.215957,-0.684486
Q10299,0.142492,-0.551531
Q08685,-0.0458508,-0.595728
Q8TFF9,-0.00122942,-0.579065
P22580,0.49165,-0.643795
O13782,0.185997,-0.502506
P22007,-0.0690068,-0.60539
Q09826,0.0774699,-0.584945
P38314,0.0649381,-0.551297
P53971,0.237632,-0.561319
O74853,0.0224009,-0.568814
O75001,-0.0616819,-0.605223
P38132,0.263638,-0.50523
Q12189,0.200975,-0.807466
Q9UTL3,0.0488012,-0.563641
P07264,0.417947,-0.443628
O14289,-0.0520732,-0.610937
Q10313,0.313083,-0.470063
P09880,-0.0122127,-0.6287
P38297,0.233436,-0.488182
Q9USY7,0.201338,-0.509235
O60173,0.359631,-0.694598
P36120,0.235902,-0.84556
O14094,0.268293,-0.475408
P38698,0.33927,-0.475028
O14188,0.131811,-0.517302
Q12280,0.239981,-0.517449
P25298,0.487794,-0.422372
O14233,0.275475,-0.461549
P41391,0.239768,-0.481165
P11745,0.318654,-0.658402
Q06217,0.118775,-0.532504
O14036,0.357583,-0.433111
P32784,-0.0328175,-0.580238
Q9P7P0,0.229629,-0.477704
Q12417,-0.0785522,-0.611948
O13615,0.241957,-0.521971
Q02821,0.122592,-0.728325
O14063,0.176862,-0.50781
P38120,0.31712,-0.451202
O14006,0.110739,-0.548684
P32908,0.225499,-0.486638
O94383,0.263754,-0.502951
Q04895,0.339298,-0.442255
O14035,0.16824,-0.538993
O74427,0.237977,-0.566782
P27515,0.310293,-0.473368
