gene,dim1,dim2
O13977,0.804027,4.38164
O94457,0.754792,4.19354
Q9P797,0.789431,4.31619
O14157,0.758964,4.13195
P40384,0.764442,4.18564
Q09895,0.781458,4.25436
Q9USL4,0.810705,4.28706
O43023,0.760949,4.12877
Q9US53,0.79317,4.26144
Q09329,0.761139,4.16549
O74385,0.76206,4.16812
P24339,0.744876,4.06575
O94308,0.76065,4.20947
Q10256,0.772999,4.21789
P87074,0.774511,4.25835
Q92383,0.781603,4.22827
Q8WZK4,0.779535,4.2371
Q09116,0.780046,4.26512
Q9HDY1,0.771309,4.18947
P38938,0.784489,4.23272
O74635,0.772649,4.25114
Q9P7W0,0.764135,4.22007
O94331,0.757521,4.12171
Q9P7I8,0.755137,4.15744
P30821,0.788018,4.23386
Q9UST9,0.808319,4.35607
Q10319,0.797866,4.34215
Q9C0W2,0.777023,4.23904
O59801,0.753533,4.20322
Q10322,0.780825,4.29841
O60137,0.770409,4.23055
O14306,0.77773,4.25263
P25009,0.797107,4.31958
Q09819,0.788462,4.23605
O94561,0.780876,4.24639
Q9UT83,0.739889,4.04188
O74738,0.773303,4.20181
Q9Y7K6,0.767748,4.22904
O36030,0.778541,4.26159
O74789,0.774191,4.09273
Q09884,0.81752,4.37598
Q9URY1,0.755038,4.17343
Q10332,0.761449,4.162
O13911,0.777986,4.2345
O13889,0.765954,4.08781
O94474,0.759282,4.16403
Q9P6R2,0.779712,4.23911
Q9USK2,0.775022,4.19501
Q10481,0.770843,4.20012
O94534,0.784431,4.21977
O94728,0.775275,4.29551
Q9UTC9,0.799201,4.30982
O42993,0.776103,4.14044
Q9Y7V2,0.784312,4.27993
O13762,0.775499,4.18849
O94462,0.773948,4.1675
O14417,0.761672,4.20302
Q09170,0.767524,4.22021
Q9P7I3,0.733541,3.96379
O94455,0.77564,4.27625
O13846,0.773221,4.22627
O59835,0.7864,4.24988
Q9P6P3,0.762472,4.15261
P78789,0.777158,4.20785
P48003,0.778552,4.30073
P36626,0.789531,4.32864
Q9USU7,0.773901,4.25287
P40236,0.772549,4.15751
O60016,0.806021,4.34142
Q10428,0.78578,4.29108
Q92353,0.796238,4.30306
O74862,-3.2492,0.698929
Q12339,-3.29191,0.697245
P40547,-0.282878,1.34037
Q02959,-0.301845,1.36588
P40164,-0.346638,1.35041
P53165,-0.32061,1.33735
Q08923,-0.329862,1.3703
Q04149,-0.322018,1.34717
P20052,-0.314114,1.33951
P53246,-0.305271,1.35813
P05375,-0.315684,1.36817
P41835,-0.311388,1.3748
P25554,-0.309819,1.35458
P38766,-0.276963,1.33698
Q02685,-0.318426,1.32959
P40056,-0.335842,1.34906
P30283,-0.304267,1.3526
P47113,-0.339669,1.35943
P21672,-0.329014,1.34426
Q03388,-0.336023,1.35309
Q02796,-0.348981,1.33757
Q00402,-0.310286,1.31363
P47017,-0.339666,1.36372
