gene,dim1,dim2
P40234,-0.0629103,0.221355
P23291,0.104375,0.150954
Q9USP5,-0.170341,0.546709
P49018,-0.109504,0.57392
P08463,-0.43976,0.713035
P20486,-0.359689,0.652508
P40374,-0.215426,0.493761
P06633,-0.312192,0.489732
P87172,-0.0464989,0.551201
P32363,-0.124124,0.679661
O14092,-0.393073,0.53306
P09950,-0.0680388,0.634983
Q10168,0.0847149,0.570251
P14907,-0.00648844,0.549194
Q08004,-0.0364044,0.545328
Q9P370,-0.215977,0.542013
P35842,0.0380558,0.559713
Q01682,-0.0470173,0.595819
Q9URT8,0.00833497,0.552036
P40525,0.0845568,0.622666
O94335,-0.0299388,0.544585
P39007,-0.125477,0.544974
P33307,-0.121942,0.524976
O13671,-0.183574,0.542263
O14206,-0.347512,0.472701
P38789,-0.0462069,0.537806
Q9P6Q3,-0.341447,0.597227
P32839,0.0179827,0.557249
Q1MTR1,0.0446636,0.582082
Q06683,-0.339525,0.473596
Q00381,-0.224522,0.495207
Q9Y7L6,-0.0756501,0.535157
P53629,-0.152072,0.55247
Q10269,0.0709314,0.627259
Q12520,-0.0379483,0.542091
Q8WZJ9,-0.173965,0.525648
P17967,-0.131819,0.579431
Q10057,-0.190768,0.508468
Q07896,-0.295873,0.528458
O94288,-0.284453,0.491541
P21696,-0.222825,0.498038
P41911,-0.0380259,0.547632
P38821,-0.236249,0.490414
O36014,-0.0495994,0.541229
P53942,-0.35249,0.4681
Q10236,-0.20648,0.701297
Q06385,-0.0536304,0.533923
O14205,0.0162269,0.550339
Q08548,-0.310687,0.511729
O42916,0.0525366,0.664466
Q10439,-0.0449501,0.543095
P40051,-0.261701,0.501608
P38075,-0.293663,0.477753
Q9UTQ1,-0.272347,0.625566
P24482,0.0712213,0.568305
O94263,-0.0622466,0.550418
P38620,-0.0948283,0.76958
O94413,0.120284,0.58671
O94637,-0.0657561,0.539105
P36132,-0.271309,0.504183
P36062,-0.140426,0.516092
Q10074,-0.315639,0.511184
P21801,-0.149435,0.524018
P21911,0.121011,0.595419
Q9P7V5,-0.072252,0.538945
P11075,0.135293,0.587672
P53073,-0.146502,0.518265
O94520,0.0446439,0.56786
P19073,-0.191333,0.563955
Q01112,-0.439504,0.538148
P0CH09,-0.12007,0.525014
P0CH07,0.0592005,0.69117
Q9P7B3,-0.338441,0.471378
P42839,-0.26211,0.665953
P0CX56,-0.358338,0.504386
P0CT67,-0.29167,0.554985
Q9HGN6,0.0661257,0.563584
P53759,0.0729456,0.573422
O13824,-0.14034,0.522888
P38798,0.0481932,0.569249
P38197,-0.100915,0.563672
Q9P6Q1,-0.0828279,0.531996
Q01846,-0.304296,0.47546
Q9USN1,-0.412891,0.655164
Q09179,-0.326607,0.495682
P32288,-0.31125,0.481678
Q9P7W5,-0.189656,0.505679
P40160,-0.194049,0.525635
O94363,-0.230657,0.574458
P25378,-0.259006,0.518694
P53894,0.0738955,0.56954
O13310,-0.027525,0.580639
O14307,-0.0438447,0.545198
P46959,-0.231077,0.508093
Q9UT98,-0.100181,0.692181
Q06892,-0.332602,0.65319
O74827,0.0958116,0.573655
P05375,-0.00649828,0.572155
P38793,-0.315106,0.47841
Q8TFG7,-0.346488,0.548712
P39683,-0.00639849,0.552563
Q9UTK3,0.0962897,0.601036
P39990,-0.379914,0.45966
O74690,-0.282778,0.49384
O14059,0.128491,0.585546
P38635,-0.113586,0.620622
Q9P7U4,-0.188384,0.511341
Q08910,-0.284213,0.554306
P87048,0.0837715,0.578434
P38764,-0.00436352,0.607709
P38820,-0.116101,0.5228
Q09810,-0.195388,0.510816
P25637,0.0264077,0.555793
O13997,-0.287081,0.506325
P36097,0.0317202,0.552879
O94600,0.0486029,0.643044
P08536,-0.184435,0.508351
P78937,-0.234242,0.517498
Q09795,-0.0278501,0.544647
Q07825,-0.262412,0.50525
P25618,-0.206509,0.501537
Q9HDZ2,-0.106281,0.552741
P38803,-0.291805,0.480805
