gene,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
P08431,0.0225735,-0.020722,-0.0160977,-0.0143821,-0.0657193,-0.0362968,0.0360193,0.0526637,-0.0552492,-0.0698997,-0.0554955,0.0129759,0.0341381,-0.0185796,0.0174069,0.0659096,0.0435717,-0.100585,0.00816992,-0.0172037,0.0323581,-0.0533371,-0.023915,-0.0396359
Q9HDU5,-0.00121583,0.00104056,-0.0176692,-0.000768238,-0.0552934,-0.0346264,-0.00313399,0.0245362,-0.0201824,-0.0200889,-0.0194736,0.0173699,0.0283846,0.00723131,0.00348391,0.0519312,0.00584075,-0.0548551,0.0187359,-0.0255243,0.00585306,-0.011946,-0.0248683,0.00712954
O14055,0.0679161,-0.0906888,-0.0839621,-0.0429776,-0.225498,-0.136775,0.0746924,0.178086,-0.151541,-0.179107,-0.112192,0.045206,0.0804584,-0.0498062,0.00590329,0.209082,0.0669223,-0.297336,0.0165557,-0.0297912,0.0436616,-0.121523,-0.0947943,-0.0671145
P36421,0.0463483,-0.0808587,-0.052283,-0.0174003,-0.229618,-0.127274,0.0759664,0.152444,-0.120654,-0.167155,-0.0984637,0.0480893,0.0586891,-0.0774319,-0.00169431,0.184674,0.0955276,-0.295944,0.019341,-0.0384729,0.0423708,-0.140293,-0.102193,-0.0822458
O59721,0.066506,-0.0689277,-0.0692948,-0.0314327,-0.201383,-0.12449,0.0578959,0.167116,-0.109588,-0.154701,-0.102958,0.0500069,0.0819558,-0.0691768,-0.0180418,0.196206,0.0928547,-0.278159,-0.00471357,-0.0456943,0.0672841,-0.112164,-0.0860925,-0.0559642
P48567,0.0872215,-0.0680975,-0.0486169,-0.0315116,-0.199964,-0.121122,0.0873158,0.147347,-0.130453,-0.142589,-0.0854622,0.028427,0.0574953,-0.0604324,-0.00984535,0.204935,0.0740792,-0.265768,0.00973745,-0.0358306,0.0645187,-0.131885,-0.0888456,-0.0538604
Q9Y7N0,0.0765533,-0.0778534,-0.090221,-0.00983325,-0.214902,-0.119443,0.0479911,0.138416,-0.134437,-0.163745,-0.116004,0.0693613,0.051652,-0.0784967,-0.0193952,0.213245,0.0785561,-0.275311,0.0322087,-0.0465397,0.0543697,-0.13744,-0.100645,-0.0568974
P35817,0.0802586,-0.0854783,-0.0981119,-0.0414111,-0.233386,-0.111725,0.0820872,0.179985,-0.128769,-0.174526,-0.117242,0.0693752,0.0531567,-0.0786651,-0.00587377,0.213904,0.0915057,-0.288759,0.0162327,-0.0477098,0.0517684,-0.141917,-0.0800611,-0.0608052
P0CT74,0.0884221,-0.0628448,-0.0687762,-0.0280396,-0.226647,-0.140747,0.076889,0.188462,-0.145358,-0.154279,-0.111697,0.0694571,0.080162,-0.0849797,0.00749402,0.22329,0.0919954,-0.287453,0.0107236,-0.0480311,0.0773346,-0.155485,-0.0971684,-0.0587754
P0CX48,0.0785945,-0.0668162,-0.0932834,-0.0334077,-0.24247,-0.136919,0.091167,0.173299,-0.131363,-0.147688,-0.119279,0.0500772,0.0676589,-0.0668316,-0.0190213,0.22193,0.0968642,-0.314852,0.0105329,-0.0241197,0.0511514,-0.123475,-0.0883121,-0.0881105
O43041,0.0909763,-0.0570998,-0.0933623,-0.025604,-0.232653,-0.144769,0.0714827,0.182648,-0.140028,-0.146321,-0.107994,0.0668743,0.0791238,-0.0678003,-0.0180793,0.226074,0.099375,-0.299141,0.0118621,-0.0327881,0.0593083,-0.147438,-0.111753,-0.0636386
Q03784,0.0958052,-0.0485223,-0.0803358,-0.0436258,-0.202322,-0.141146,0.0946928,0.178057,-0.124237,-0.169942,-0.129051,0.0717468,0.081117,-0.0832738,-0.0235496,0.232278,0.0628589,-0.306513,-0.00348678,-0.0339984,0.0654648,-0.122019,-0.102514,-0.0594546
P17505,0.086348,-0.0903099,-0.0648116,-0.00483516,-0.231631,-0.11377,0.0813352,0.188511,-0.166818,-0.153418,-0.115241,0.0571424,0.0948689,-0.0686109,0.0119951,0.242757,0.0742243,-0.300567,0.0345556,-0.0427982,0.05516,-0.147126,-0.0944132,-0.0571198
Q9Y7R8,0.0591556,-0.0671748,-0.0983467,-0.0340281,-0.240095,-0.108805,0.0925027,0.18863,-0.158182,-0.177236,-0.11156,0.0663673,0.071719,-0.054773,0.00874575,0.240901,0.0783344,-0.283572,0.0225953,-0.0408991,0.0430334,-0.148302,-0.120035,-0.0597859
P32857,0.0852112,-0.0588947,-0.0777335,-0.0417656,-0.206005,-0.0918237,0.0862026,0.157822,-0.143032,-0.119842,-0.0950579,0.0286834,0.0540101,-0.0502778,0.0136282,0.183973,0.0835072,-0.258178,-0.0115093,-0.0378979,0.0297606,-0.121109,-0.09801,-0.0794873
O13989,0.062586,-0.0635176,-0.0801388,-0.0278195,-0.197413,-0.122161,0.080047,0.131055,-0.131505,-0.15748,-0.119529,0.0439128,0.0581478,-0.0613454,0.000189457,0.199113,0.0974098,-0.279159,0.0182767,-0.0313684,0.0633004,-0.142408,-0.0947571,-0.0556947
Q12009,0.0964011,-0.0895286,-0.101278,-0.0411277,-0.236358,-0.117857,0.0741035,0.190172,-0.167226,-0.149047,-0.110006,0.0813723,0.0597629,-0.0849848,-0.0168115,0.232304,0.0917918,-0.332561,0.00504402,-0.0441074,0.0685285,-0.16348,-0.117476,-0.0760267
Q96WV1,0.0906378,-0.0922072,-0.107106,-0.0098839,-0.248158,-0.130092,0.0831084,0.207674,-0.175327,-0.184878,-0.12044,0.0533724,0.0980441,-0.0840549,0.0159397,0.224208,0.118059,-0.335123,0.00469841,-0.0199027,0.0796869,-0.149059,-0.124454,-0.0652152
P47017,0.0882337,-0.080337,-0.0633703,-0.00995657,-0.214321,-0.116202,0.0968384,0.149364,-0.16897,-0.1781,-0.127957,0.0704463,0.0817869,-0.0611538,0.00423564,0.208973,0.106887,-0.318833,0.0105323,-0.0319399,0.0747821,-0.129814,-0.100406,-0.0901778
P87173,0.0719283,-0.0767576,-0.0915113,-0.0145746,-0.217396,-0.135199,0.0630974,0.14919,-0.140225,-0.171054,-0.134884,0.0498484,0.0909921,-0.0755853,0.00290951,0.238618,0.0665825,-0.315517,0.0185982,-0.0171693,0.0792953,-0.135749,-0.115874,-0.0683092
Q9US13,0.0646757,-0.0828725,-0.0978579,-0.0432434,-0.204608,-0.120114,0.0927597,0.184465,-0.123601,-0.153732,-0.086538,0.0735076,0.0825617,-0.0578516,0.0093638,0.21239,0.0627282,-0.309588,0.0308868,-0.0156713,0.0595893,-0.126389,-0.10165,-0.0616948
Q04062,0.0725363,-0.093543,-0.0944687,-0.0163157,-0.240428,-0.119812,0.0717609,0.189632,-0.151726,-0.175497,-0.0991358,0.0548393,0.0688691,-0.0668226,-0.021558,0.206659,0.0980414,-0.316528,0.0103227,-0.0497878,0.0447879,-0.129502,-0.0893633,-0.052115
P22219,0.0935005,-0.0950874,-0.0777773,-0.0163483,-0.240149,-0.105728,0.0708313,0.168168,-0.172986,-0.176359,-0.104256,0.0462579,0.0904212,-0.0802962,-0.00266473,0.23057,0.103494,-0.325789,0.0344151,-0.0196551,0.042823,-0.166976,-0.0984924,-0.0783252
