gene,dim1,dim2
Q09685,-0.470786,0.881039
P39964,-0.366953,0.708458
O94316,-0.27932,0.811071
O59801,-0.483781,0.569586
P40383,-0.605661,1.01346
P87048,-0.290916,0.456422
O94444,-0.709372,1.02865
O74803,-0.583973,0.48788
P36622,-0.306198,0.280619
Q9Y804,-1.47651,3.13173
O74818,0.0477469,0.452719
O14423,-0.590555,0.488402
P49777,-0.305933,0.732516
O74535,-0.39888,0.601275
O42868,-0.374663,1.05385
Q9P376,-0.372457,0.560614
Q09683,-0.342537,0.66957
P39750,-0.723075,1.00278
Q6BDR8,-0.530065,0.871412
Q9UTQ7,-0.0442432,0.533311
P41004,-0.86216,1.42462
Q10325,-0.404966,0.669093
O74135,-0.394389,0.342261
O74515,-1.1038,1.83601
P53692,-0.596738,0.660051
Q10337,-0.595413,1.16159
Q10290,-0.678822,1.00682
Q9US26,-0.443765,0.354693
Q9Y7J6,0.00116533,0.496759
P34208,-0.685074,1.12052
P07799,-0.367647,0.453715
P08096,-0.73168,0.946019
Q4PIR3,-0.337218,0.746979
O42980,-0.19551,0.42757
O14417,-0.500767,1.05216
Q9URY2,-0.173225,0.477953
Q9UUL2,-0.187361,0.630782
Q9UUB7,-0.16433,0.592035
Q50HP4,-0.183598,0.459031
O43013,-0.810447,1.40352
Q9UTG8,-0.163754,0.545751
O94483,-0.146646,0.34899
Q50HP3,-0.334654,0.578802
Q9HFE5,-0.103954,0.550152
Q12705,-0.753469,1.3839
P22987,-0.442558,0.623246
Q9UTJ8,-0.104472,0.719583
Q9USX3,-0.417799,1.04363
O94235,-0.50056,0.741378
P25295,-0.175007,0.97181
O94451,-0.355232,0.318921
P87231,-0.498579,1.00969
P41003,-0.614341,1.47464
Q9UTI1,-0.277939,0.321236
Q09760,0.0390904,0.53711
O13988,-0.262443,0.392165
Q09811,-0.790978,1.54015
P38937,-0.422886,0.884149
Q09180,-0.377056,0.209515
Q10344,-0.082455,0.435417
O42860,-0.450991,0.911463
O14343,-0.662038,1.2836
P53695,-0.278682,0.812479
Q09691,-0.410472,0.670461
Q9HDZ3,-0.509714,0.597705
O14350,-0.396002,0.74259
P78955,-0.109743,0.771195
O74761,-0.160811,0.970724
P36632,-0.547997,0.862401
O74517,-0.489813,0.495266
P39825,-0.292185,0.81232
Q9HGP5,-0.316728,0.801743
Q9UT81,-0.26588,0.390471
P01129,-0.227265,0.957093
Q9P6H9,-0.255554,0.730641
O14132,-0.040862,0.334225
O14328,-0.129802,0.428499
O14019,-0.0142571,0.731649
P87050,-0.304822,0.761328
Q10113,-0.337114,0.520366
O94534,-0.367805,0.911754
Q9Y738,-0.348614,0.734634
O43058,-0.595739,0.656644
O94646,-0.324898,0.903133
Q10364,-0.506388,0.499611
O60126,-0.100861,0.620038
P87175,-0.492455,0.833425
O13911,-0.153995,0.836866
P23880,0.0209121,0.564552
P13681,-0.358165,1.1215
Q10198,-0.271312,0.513514
O13826,-0.497091,0.811004
Q9UT72,-0.222468,0.829947
O13735,-0.401582,0.297314
