Gene A	Gene B	Score	Category
Q9US53	Q9UTR1	-0.338043	Non-SL
Q9US53	P41893	-0.45570600000000006	Non-SL
Q9US53	Q7Z9H9	-0.06082100000000001	Non-SL
Q9US53	O42646	-0.489281	Non-SL
Q9US53	Q10668	0.909975	Non-SL
Q9US53	Q10086	-0.40729899999999997	Non-SL
Q9US53	O13682	0.870346	Non-SL
Q9US53	O13685	0.370658	Non-SL
Q9US53	Q10435	0.46239399999999997	Non-SL
Q9US53	Q10438	-0.8557459999999999	Non-SL
Q9US53	Q10446	-1.13365	Inconclusive
Q9US53	Q09866	-0.445367	Non-SL
Q9US53	Q09873	0.231702	Non-SL
Q9US53	Q9UTN2	0.139695	Non-SL
Q9US53	Q09738	-0.19625499999999999	Non-SL
Q9US53	Q09737	-0.15045	Non-SL
Q9US53	Q09683	0.243335	Non-SL
Q9US53	P36607	0.152891	Non-SL
Q9US53	Q09786	0.6504880000000001	Non-SL
Q9US53	Q10277	-0.606262	Non-SL
Q9US53	Q9UTL9	0.664895	Non-SL
Q9US53	O13719	0.185632	Non-SL
Q9US53	P50531	-0.148077	Non-SL
Q9US53	Q09189	0.46079799999999993	Non-SL
Q9US53	Q10343	-1.25279	Inconclusive
Q9US53	O13731	0.296942	Non-SL
Q9US53	O13734	-0.48713900000000004	Non-SL
Q9US53	Q9UTI1	0.08531699999999999	Non-SL
Q9US53	Q9UTH9	0.015088999999999998	Non-SL
Q9US53	O94451	1.249136	Non-SL
Q9US53	O94454	0.23280399999999998	Non-SL
Q9US53	O94455	-0.056714999999999995	Non-SL
Q9US53	O94457	0.047833999999999995	Non-SL
Q9US53	O94462	-0.548883	Non-SL
Q9US53	P87294	0.24501900000000001	Non-SL
Q9US53	P87297	-0.640012	Non-SL
Q9US53	Q09819	0.088443	Non-SL
Q9US53	Q9P7H8	0.42906000000000005	Non-SL
Q9US53	Q9P7H4	-0.09565599999999999	Non-SL
Q9US53	O13762	0.727843	Non-SL
Q9US53	P42657	0.46935200000000005	Non-SL
Q9US53	Q10477	0.715253	Non-SL
Q9US53	Q10481	-0.8469049999999999	Non-SL
Q9US53	O13781	0.037145	Non-SL
Q9US53	Q10317	0.37406300000000003	Non-SL
Q9US53	Q10319	-0.319984	Non-SL
Q9US53	Q10321	0.17688199999999998	Non-SL
Q9US53	Q10322	-0.9049459999999999	Non-SL
