protein,dim1,dim2
Q10426,-0.783643,-0.403165
O13959,-0.823419,-0.419039
O13790,-1.36693,-0.328178
O13993,-0.48996,-0.265639
O74954,-3.33208,-1.30524
O13768,-0.702523,-0.0430476
P27574,-0.515924,-0.382101
Q09892,-1.29276,-0.770389
O94547,-0.385463,-0.0432923
Q10990,-0.920062,-0.579577
O13895,-0.501916,-0.192485
Q09760,-1.10522,-0.660871
O94354,-0.696097,-0.235004
Q9UT81,-0.786454,-0.564785
Q9P3A7,-0.677286,-0.365831
P36586,-0.237403,-0.309702
Q9UT08,-2.59809,-1.47288
O13811,-0.342571,-0.146898
O74791,-0.322285,-0.247131
Q9UTN3,-2.26013,-1.30053
Q9P7S7,-0.434918,-0.390956
O60179,-0.360556,-0.292378
P87061,-3.01192,-1.64977
Q10165,-0.222301,0.0171328
Q09699,-0.813067,-0.519589
O13788,-0.557313,-0.515121
O74964,-0.754734,-0.308953
O14113,-0.454083,-0.283582
O43071,-1.55884,-0.732319
P36629,-0.671412,-0.375514
O74476,-0.422754,-0.369381
O94560,-2.50624,-1.1702
Q9UT21,-0.433709,-0.180855
O43044,-0.977454,-0.573095
O36030,-0.695776,-0.236804
Q09748,-0.566428,-0.0543024
O43050,-0.281631,-0.285708
Q09672,-0.544082,-0.478623
O59855,-0.769059,-0.117665
Q9P7D7,-0.463151,-0.0628718
Q9UU79,-0.388303,-0.141263
O94294,-2.35447,-1.10524
Q10284,-0.520977,-0.0801466
O94235,-0.685102,-0.291312
O94751,-0.655541,-0.309319
Q9P7A0,-0.48191,-0.599971
O14008,-0.625531,-0.458846
Q9USI6,-0.947476,-0.256732
P78953,-0.836429,-0.504111
Q9UTC7,-0.38394,-0.240525
Q9P7H6,-1.05221,-0.642628
Q9UUC6,-0.452649,-0.416482
O94450,-0.504489,-0.319865
P30666,-0.733777,-0.259113
O74113,-0.680246,-0.569491
Q9UTR5,-0.725297,-0.234129
P87179,-0.7664,-0.292764
Q10197,-0.683314,-0.525676
Q09767,-0.527512,-0.320587
Q9UT00,-0.409488,-0.450767
Q09917,-0.505514,-0.194288
P14605,-0.828103,-0.537226
Q9P7K5,-0.499252,-0.461828
Q01112,-1.3463,-0.51687
Q10056,-0.595085,-0.174298
P78963,-0.562077,-0.54169
Q9USR0,-0.179608,-0.139385
O13807,-1.22893,-0.434531
Q09873,-0.426885,-0.167584
O43007,-0.459049,0.0300021
Q9P7H1,-2.45384,-1.2478
O13639,-0.4632,-0.231565
O14014,-0.397117,-0.151699
Q9P3W4,-1.26235,-0.592529
O13773,-0.430211,0.070208
Q09826,-1.29247,-0.898369
Q92351,-0.531125,-0.439906
Q9Y705,-0.968559,-0.51509
P36624,-0.899254,-0.216772
O60064,-0.595375,-0.0795007
O74484,-0.701038,-0.188558
O14301,-0.577724,-0.0221375
O13846,-0.315664,-0.280484
P48008,-0.730052,-0.0315507
P48009,-0.674013,-0.505265
Q09763,-0.418366,-0.318251
Q9UUM7,-0.470282,-0.373782
Q10271,-0.446877,-0.270397
O74957,-1.07147,-0.537238
Q09884,-0.592699,-0.301908
Q9Y7P6,-0.308259,-0.0714834
P42656,-1.00532,-0.774536
Q10325,-0.816653,-0.500085
O60127,-0.413263,-0.462804
P32586,-0.430778,-0.348057
P07527,-1.01051,-0.354199
Q9P3U0,-0.836123,-0.22968
Q10187,-0.597212,-0.572877
P87238,-0.359149,0.117954
Q9P789,-0.322936,-0.000494893
Q10338,-0.615439,-0.37742
O14227,-0.829948,-0.194853
P24339,-0.530765,-0.174827
Q9P7D2,-0.188426,-0.393909
Q10335,-0.620646,-0.405526
O00091,-0.395841,-0.141759
