gene,dim1,dim2
P78954,-0.048929,-0.0579769
P07260,0.193083,0.0660848
P87297,-0.19435,-0.132989
O14210,0.12942,-0.026769
Q9Y7J1,-0.0568096,-0.0353561
O13782,-0.0131831,0.256417
P22007,0.107039,0.0119125
O94453,0.11806,0.0990705
O13525,-0.147373,0.12361
O60182,0.207954,0.167154
P38630,-0.0316671,0.00272055
P38922,-0.241706,0.222286
P40547,-0.184978,0.24331
P32479,0.158109,0.168973
O13793,0.0730246,-0.216039
Q12029,0.0471697,0.0666523
P40215,-0.187769,0.0287397
O14121,0.150252,-0.0414795
P14965,0.141004,-0.220703
P03962,0.0896518,-0.241836
Q9HGL6,0.11917,0.0435067
Q08235,0.14028,0.0566458
O13831,-0.0574596,0.224014
P00931,0.210765,-0.0592714
P04819-1,-0.228408,0.226934
P12000,0.0447928,-0.213106
P24279,-0.110364,-0.0337437
P30666,0.0944246,0.142715
Q10318,-0.136954,0.0218245
P39522,-0.0316506,0.205499
O94396,0.247376,0.0687181
O74804,-0.039997,0.0400149
P09202,0.22669,0.183993
P53954,-0.262038,0.071284
O74878,0.0328916,-0.0107281
Q06504,-0.183448,0.248378
O74457,0.196988,-0.138651
Q9USU7,-0.00906996,-0.164202
O74861,0.143975,0.200322
Q10236,0.0742195,0.161802
P47048,0.152346,0.127406
O94730,0.195428,-0.0890031
P53875,0.230692,0.213049
Q9UTK2,0.0194947,-0.176184
O94387,0.168317,0.095137
O42858,-0.0289979,0.151112
O74860,0.0232602,0.225941
P53131,0.0896851,0.149227
O42945,0.0971681,-0.122522
O43065,-0.0170542,0.242582
P32333,0.162097,-0.03772
O74841,0.155914,-0.156294
P38913,-0.0954536,0.168658
O74762,-0.116008,-0.0978395
P32565,0.204948,0.159436
P53900,0.188809,-0.225462
P27614,0.0671893,-0.11876
O13968,0.0265937,-0.0794122
P39702,0.154723,-0.14308
P00927,0.165709,0.215537
P25588,-0.170238,-0.065409
P39533,-0.0701951,-0.188904
Q9P7D4,-0.13257,-0.203258
Q9Y7J3,0.219046,-0.196244
P53934,-0.102257,-0.139554
O94268,-0.21818,-0.184072
P40991,0.237829,-0.114429
P38795,-0.138052,0.172825
O74940,-0.230184,-0.177208
O43033,-0.127256,-0.168011
Q06668,-0.0237861,-0.0726559
P38836,0.136056,0.0110057
O74818,-0.0846899,0.161245
O94279,0.0837512,-0.217886
Q9Y7N2,-0.113028,-0.180964
O74874,-0.199999,-0.206865
Q10740,0.230937,0.053597
O94544,0.185176,-0.248673
O13620,0.0931052,-0.153703
Q06106,-0.129001,0.0367477
P32943,0.147509,-0.0496915
P38293,0.224772,0.0126874
P32641,0.121557,-0.120612
Q09841,0.0792691,0.149933
P25043,0.191573,-0.167961
Q9UTK0,0.254703,0.160368
Q08444,0.224014,0.0245282
Q9P7B2,0.127895,-0.115442
P0CX40,0.221572,0.0371778
P09959,-0.0341849,0.18974
P40987,-0.174713,0.238064
P32353,-0.231392,0.120429
P33416,0.0423408,-0.00492443
O74402,-0.112067,-0.0989871
Q06324,0.0195012,-0.140588
Q06164,0.0205387,-0.196168
P46670,0.195571,-0.125251
P38179,-0.17447,-0.112895
Q9Y7I4,0.163478,0.230186
Q9UTE5,0.102348,-0.141681
Q10113,-0.217732,-0.219346
O94689,0.161385,0.203558
P40074,-0.235187,-0.241937
O74327,-0.125801,0.00340818
Q9US09,-0.0665514,0.180203
P47040,0.0816774,0.230761
Q03195,0.161,0.242341
O60102,0.206011,0.241972
P40487,-0.166507,-0.0931574
O59713,-0.0196243,0.0112235
P00445,0.128787,0.127297
P22214,-0.00126146,0.129162
Q01080,-0.0201926,0.195009
Q08446,0.0569832,-0.206695
O59709,0.173275,0.145875
P53600,0.155318,0.146818
O74891,0.104248,-0.209488
Q09903,0.173049,0.235071
P32892,0.0953656,-0.0789181
P41318,-0.116271,0.0272754
O74184,-0.157089,-0.0838971
P47988,-0.157727,0.0500867
O74541,0.0123658,0.250987
O60074,0.00882034,-0.043087
P69771,-0.00219338,-0.0272464
Q08977,0.127927,-0.0889563
